Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "THSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364429
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4209
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,4/21/16 17:50:00,21.01,84.90,18.39,0.5,1.5,131,21,0.0,4.26
2,4/21/16 18:00:00,21.49,85.20,18.92,0.0,0.8,72,16,0.0,4.27
3,4/21/16 18:10:00,21.13,85.00,18.53,0.5,1.8,22,6,0.0,4.27
4,4/21/16 18:20:00,21.15,84.30,18.42,0.0,1.5,53,4,0.0,4.26
5,4/21/16 18:30:00,21.32,83.80,18.49,0.3,1.5,34,1,0.0,4.26
6,4/21/16 18:40:00,21.20,84.50,18.51,0.5,2.3,20,1,0.0,4.26
7,4/21/16 18:50:00,21.15,83.40,18.25,0.0,0.8,295,1,0.0,4.25
8,4/21/16 19:00:00,21.37,81.80,18.15,0.5,2.0,3,1,0.0,4.25
9,4/21/16 19:10:00,21.37,80.10,17.82,0.3,1.3,20,1,0.0,4.26
10,4/21/16 19:20:00,21.39,81.40,18.10,0.3,2.0,341,1,0.0,4.25
11,4/21/16 19:30:00,21.29,81.00,17.92,0.5,2.5,93,1,0.2,4.25
12,4/21/16 19:40:00,21.60,80.80,18.19,1.0,2.8,118,1,2.2,4.25
13,4/21/16 19:50:00,21.46,80.30,17.95,0.5,2.8,80,1,2.0,4.25
14,4/21/16 20:00:00,21.08,80.20,17.56,0.3,1.3,51,1,0.0,4.25
15,4/21/16 20:10:00,21.68,78.80,17.86,0.5,2.8,355,1,0.0,4.25
16,4/21/16 20:20:00,21.60,76.20,17.26,0.3,1.8,1,1,0.0,4.25
17,4/21/16 20:30:00,21.08,78.00,17.12,0.0,0.3,22,1,0.0,4.25
18,4/21/16 20:40:00,21.37,75.40,16.86,0.0,1.3,21,1,0.0,4.25
19,4/21/16 20:50:00,20.82,77.60,16.78,0.3,1.5,8,1,0.0,4.25
20,4/21/16 21:00:00,20.65,77.10,16.52,0.3,1.3,21,1,0.0,4.25
21,4/21/16 21:10:00,21.53,75.60,17.06,1.0,3.5,65,1,0.0,4.25
22,4/21/16 21:20:00,20.82,76.00,16.45,0.5,2.0,7,1,0.0,4.25
23,4/21/16 21:30:00,20.96,76.40,16.67,0.0,1.5,29,1,0.0,4.25
24,4/21/16 21:40:00,21.27,74.60,16.60,0.8,2.5,35,1,0.0,4.25
25,4/21/16 21:50:00,20.86,75.70,16.44,0.3,1.5,28,1,0.0,4.25
26,4/21/16 22:00:00,21.03,76.50,16.76,0.0,1.0,20,1,0.0,4.25
27,4/21/16 22:10:00,21.72,75.00,17.12,0.3,2.0,63,1,0.0,4.25
28,4/21/16 22:20:00,21.84,72.70,16.74,0.0,0.8,58,1,0.0,4.25
29,4/21/16 22:30:00,21.63,72.40,16.47,0.0,0.8,355,1,0.0,4.25
30,4/21/16 22:40:00,21.68,73.30,16.71,0.0,0.0,355,1,0.0,4.25
31,4/21/16 22:50:00,21.84,73.00,16.81,0.3,2.8,95,1,0.0,4.25
32,4/21/16 23:00:00,21.63,73.20,16.64,0.8,2.8,22,1,0.0,4.25
33,4/21/16 23:10:00,22.01,72.90,16.95,0.3,1.8,45,1,0.0,4.25
34,4/21/16 23:20:00,22.06,72.50,16.91,0.0,1.3,46,1,0.0,4.25
35,4/21/16 23:30:00,21.08,76.00,16.71,0.0,0.3,14,1,0.0,4.25
36,4/21/16 23:40:00,20.89,79.20,17.17,0.0,0.5,24,1,0.0,4.25
37,4/21/16 23:50:00,20.89,79.10,17.15,0.0,1.0,48,1,0.0,4.25
38,4/22/16 00:00:00,20.79,81.40,17.51,0.0,0.0,45,1,0.0,4.25
39,4/22/16 00:10:00,20.77,80.90,17.39,0.0,0.5,111,1,0.0,4.25
40,4/22/16 00:20:00,20.77,81.50,17.51,0.0,0.0,128,1,0.0,4.25
41,4/22/16 00:30:00,20.79,81.10,17.46,0.0,0.0,128,1,0.0,4.25
42,4/22/16 00:40:00,20.86,80.10,17.33,0.0,0.5,112,1,0.0,4.25
43,4/22/16 00:50:00,21.08,78.30,17.18,0.0,0.0,102,1,0.0,4.25
44,4/22/16 01:00:00,20.65,81.30,17.36,0.0,0.0,102,1,0.0,4.25
45,4/22/16 01:10:00,20.58,82.70,17.56,0.0,0.3,102,1,0.0,4.25
46,4/22/16 01:20:00,20.72,83.30,17.81,0.0,0.5,102,1,0.0,4.25
47,4/22/16 01:30:00,21.01,81.60,17.76,0.0,1.3,97,1,0.0,4.25
48,4/22/16 01:40:00,20.84,81.80,17.64,0.0,0.3,28,1,0.0,4.25
49,4/22/16 01:50:00,20.65,82.20,17.53,0.0,1.0,28,1,0.0,4.24
50,4/22/16 02:00:00,20.51,83.40,17.62,0.0,0.8,28,1,0.0,4.25
51,4/22/16 02:10:00,20.46,83.00,17.50,0.0,0.3,28,1,0.0,4.25
52,4/22/16 02:20:00,20.41,83.70,17.58,0.0,0.3,28,1,0.0,4.25
53,4/22/16 02:30:00,20.27,84.60,17.61,0.0,0.0,28,1,0.0,4.25
54,4/22/16 02:40:00,20.06,85.60,17.59,0.0,0.0,28,1,0.0,4.25
55,4/22/16 02:50:00,20.20,85.10,17.64,0.0,0.3,28,1,0.0,4.24
56,4/22/16 03:00:00,20.22,85.40,17.72,0.0,0.5,46,1,0.0,4.25
57,4/22/16 03:10:00,20.63,84.50,17.94,0.0,0.3,56,1,0.0,4.25
58,4/22/16 03:20:00,20.60,83.60,17.75,0.0,0.8,80,1,0.0,4.25
59,4/22/16 03:30:00,20.53,83.40,17.64,0.0,1.3,87,1,0.0,4.25
60,4/22/16 03:40:00,20.41,82.90,17.43,0.0,0.8,20,1,0.0,4.25
61,4/22/16 03:50:00,20.77,83.00,17.80,0.0,0.8,20,1,0.0,4.24
62,4/22/16 04:00:00,20.53,82.50,17.47,0.0,0.8,20,1,0.0,4.25
63,4/22/16 04:10:00,20.39,83.00,17.43,0.0,0.0,20,1,0.0,4.25
64,4/22/16 04:20:00,20.36,83.80,17.56,0.0,0.3,20,1,0.0,4.25
65,4/22/16 04:30:00,20.56,83.50,17.69,0.0,0.5,25,1,0.0,4.25
66,4/22/16 04:40:00,20.60,84.20,17.86,0.0,1.5,67,1,0.0,4.25
67,4/22/16 04:50:00,20.79,83.50,17.92,0.0,0.5,108,1,0.0,4.24
68,4/22/16 05:00:00,20.63,83.20,17.70,0.3,1.0,45,1,0.0,4.24
69,4/22/16 05:10:00,20.53,83.20,17.61,0.0,0.8,37,1,0.0,4.24
70,4/22/16 05:20:00,20.17,83.30,17.27,0.0,0.5,60,1,0.0,4.25
71,4/22/16 05:30:00,19.58,85.30,17.07,0.0,0.0,60,1,0.0,4.25
72,4/22/16 05:40:00,19.70,86.30,17.37,0.0,0.0,60,4,0.0,4.25
73,4/22/16 05:50:00,19.44,86.70,17.18,0.0,0.0,60,11,0.0,4.24
74,4/22/16 06:00:00,19.27,87.90,17.24,0.0,0.0,60,26,0.0,4.24
75,4/22/16 06:10:00,19.34,88.00,17.33,0.0,0.0,60,44,0.0,4.24
76,4/22/16 06:20:00,19.63,87.50,17.52,0.0,1.0,69,66,0.0,4.24
77,4/22/16 06:30:00,19.86,86.20,17.51,0.0,0.5,76,94,0.0,4.24
78,4/22/16 06:40:00,20.03,86.00,17.64,0.0,0.0,76,116,0.0,4.24
79,4/22/16 06:50:00,20.22,84.80,17.60,0.0,0.0,76,139,0.0,4.24
80,4/22/16 07:00:00,20.29,83.80,17.49,0.0,0.8,76,154,0.0,4.24
81,4/22/16 07:10:00,20.46,83.40,17.57,0.3,1.5,52,179,0.0,4.24
82,4/22/16 07:20:00,20.60,84.10,17.85,0.3,1.3,42,214,0.0,4.24
83,4/22/16 07:30:00,21.03,82.50,17.96,0.0,0.8,46,241,0.0,4.24
84,4/22/16 07:40:00,21.27,81.40,17.98,0.3,1.3,22,224,0.0,4.24
85,4/22/16 07:50:00,21.63,80.70,18.19,0.3,1.5,31,229,0.0,4.23
86,4/22/16 08:00:00,21.91,80.00,18.33,0.0,1.0,29,306,0.0,4.24
87,4/22/16 08:10:00,22.42,78.90,18.60,0.0,0.5,28,371,0.2,4.24
88,4/22/16 08:20:00,23.26,77.30,19.09,0.0,0.5,21,444,0.0,4.24
89,4/22/16 08:30:00,23.52,75.30,18.92,0.0,0.8,355,474,0.0,4.24
90,4/22/16 08:40:00,23.69,72.70,18.52,0.0,0.8,321,646,0.0,4.24
91,4/22/16 08:50:00,23.83,74.80,19.12,0.5,2.3,250,749,0.0,4.22
92,4/22/16 09:00:00,22.39,77.40,18.27,0.8,2.3,219,786,0.2,4.23
93,4/22/16 09:10:00,21.68,85.20,19.11,1.0,3.5,198,859,0.0,4.23
94,4/22/16 09:20:00,22.61,86.70,20.30,0.8,3.3,212,869,0.0,4.23
95,4/22/16 09:30:00,22.01,87.80,19.92,0.8,2.3,219,756,0.0,4.23
96,4/22/16 09:40:00,21.44,90.50,19.84,1.0,3.3,211,581,0.0,4.23
97,4/22/16 09:50:00,22.20,90.70,20.64,0.3,1.8,220,714,0.0,4.22
98,4/22/16 10:00:00,22.68,89.30,20.86,0.8,2.5,225,976,0.0,4.23
99,4/22/16 10:10:00,22.73,87.60,20.59,0.3,1.3,244,831,0.0,4.23
100,4/22/16 10:20:00,22.66,88.70,20.72,0.3,2.8,209,776,0.0,4.22
101,4/22/16 10:30:00,22.37,90.20,20.71,0.5,2.0,257,641,0.0,4.23
102,4/22/16 10:40:00,22.54,90.00,20.84,0.5,2.0,227,559,0.0,4.22
103,4/22/16 10:50:00,22.85,89.40,21.04,0.5,3.0,191,1049,0.0,4.22
104,4/22/16 11:00:00,23.71,87.20,21.48,0.8,2.8,216,1129,0.0,4.22
105,4/22/16 11:10:00,22.68,89.00,20.80,1.3,4.3,227,821,0.0,4.22
106,4/22/16 11:20:00,22.75,89.40,20.94,0.8,2.8,246,829,0.0,4.22
107,4/22/16 11:30:00,22.58,89.90,20.87,0.8,3.0,243,861,0.0,4.22
108,4/22/16 11:40:00,22.44,89.70,20.69,1.0,3.3,236,716,0.0,4.22
109,4/22/16 11:50:00,22.01,92.10,20.70,1.0,3.5,219,554,0.0,4.22
110,4/22/16 12:00:00,23.98,89.70,22.21,0.8,3.0,226,1019,0.0,4.22
111,4/22/16 12:10:00,23.30,89.10,21.43,0.5,2.8,240,744,0.0,4.22
112,4/22/16 12:20:00,22.25,88.70,20.32,1.3,5.8,241,579,0.0,4.22
113,4/22/16 12:30:00,24.34,89.00,22.44,0.8,3.8,237,1311,0.0,4.22
114,4/22/16 12:40:00,24.17,85.20,21.55,1.0,5.0,219,1174,0.0,4.22
115,4/22/16 12:50:00,22.94,88.00,20.88,0.8,3.5,254,731,0.0,4.22
116,4/22/16 13:00:00,23.86,88.00,21.78,0.8,2.5,202,1174,0.0,4.22
117,4/22/16 13:10:00,22.30,89.30,20.48,1.0,3.8,198,441,0.0,4.22
118,4/22/16 13:20:00,22.30,91.40,20.86,0.3,3.5,226,461,0.0,4.22
119,4/22/16 13:30:00,22.49,92.40,21.22,0.8,3.3,227,609,0.0,4.22
120,4/22/16 13:40:00,21.82,92.90,20.65,0.5,2.5,195,469,0.0,4.22
121,4/22/16 13:50:00,21.68,95.70,20.99,0.8,3.0,223,484,0.0,4.22
122,4/22/16 14:00:00,22.15,95.10,21.36,0.5,2.5,208,611,0.0,4.24
123,4/22/16 14:10:00,22.06,94.20,21.11,1.3,4.5,205,704,0.0,4.25
124,4/22/16 14:20:00,22.58,93.80,21.56,1.3,3.3,205,629,0.0,4.25
125,4/22/16 14:30:00,22.39,94.30,21.46,1.0,3.8,194,549,0.0,4.22
126,4/22/16 14:40:00,22.63,93.60,21.58,1.0,3.3,180,529,0.0,4.22
127,4/22/16 14:50:00,21.96,93.80,20.95,1.0,3.5,198,461,0.0,4.25
