Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Phuntsholing HSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364423
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4203
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 18
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Water Cont, m^3/m^3","PAR, uE","Rain, mm","Batt, V"
1,4/22/16 17:35:00,26.84,84.30,24.00,0.0738,76,0.0,4.16
2,4/22/16 17:40:00,26.74,85.50,24.14,0.0745,69,0.0,4.16
3,4/22/16 17:45:00,26.60,86.40,24.17,0.0297,61,0.0,4.17
4,4/22/16 17:50:00,26.52,86.70,24.16,0.0297,54,0.0,4.17
5,4/22/16 17:55:00,26.40,87.20,24.13,0.0297,44,0.0,4.17
6,4/22/16 18:00:00,26.48,86.80,24.13,0.0306,29,0.0,4.17
7,4/22/16 18:05:00,26.43,87.30,24.17,0.0310,19,0.0,4.17
8,4/22/16 18:10:00,26.43,87.40,24.19,0.0306,16,0.0,4.17
9,4/22/16 18:15:00,26.28,88.30,24.22,0.0297,11,0.0,4.17
10,4/22/16 18:20:00,26.06,89.30,24.19,0.0297,6,0.0,4.20
11,4/22/16 18:25:00,26.04,90.10,24.32,0.0297,4,0.0,4.17
12,4/22/16 18:30:00,25.91,90.50,24.27,0.0319,4,0.0,4.17
13,4/22/16 18:35:00,25.74,91.20,24.23,0.0341,1,0.0,4.16
14,4/22/16 18:40:00,25.62,91.70,24.20,0.0332,1,0.0,4.17
15,4/22/16 18:45:00,25.70,91.40,24.22,0.0332,1,0.0,4.16
16,4/22/16 18:50:00,25.65,91.30,24.15,0.0371,1,0.0,4.17
17,4/22/16 18:55:00,25.55,91.10,24.02,0.0341,1,0.0,4.17
18,4/22/16 19:00:00,25.40,91.60,23.97,0.0341,1,0.0,4.21
19,4/22/16 19:05:00,25.50,90.90,23.94,0.0375,1,0.0,4.16
20,4/22/16 19:10:00,25.53,90.60,23.91,0.0328,1,0.0,4.17
21,4/22/16 19:15:00,25.33,91.40,23.86,0.0332,1,0.0,4.17
22,4/22/16 19:20:00,25.21,92.00,23.85,0.0332,1,0.0,4.17
23,4/22/16 19:25:00,25.06,92.40,23.78,0.0332,1,0.0,4.17
24,4/22/16 19:30:00,25.02,92.40,23.73,0.0332,1,0.0,4.17
25,4/22/16 19:35:00,24.90,92.00,23.54,0.0332,1,0.0,4.17
26,4/22/16 19:40:00,24.87,91.80,23.48,0.0341,1,0.0,4.15
27,4/22/16 19:45:00,24.90,92.10,23.55,0.0341,1,0.0,4.16
28,4/22/16 19:50:00,24.82,92.80,23.61,0.0341,1,0.0,4.17
29,4/22/16 19:55:00,24.80,92.40,23.51,0.0341,1,0.0,4.17
30,4/22/16 20:00:00,24.73,92.40,23.44,0.0341,1,0.0,4.17
31,4/22/16 20:05:00,24.60,92.50,23.34,0.0341,1,0.0,4.17
32,4/22/16 20:10:00,24.65,92.00,23.30,0.0341,1,0.0,4.17
33,4/22/16 20:15:00,24.77,90.50,23.14,0.0341,1,0.0,4.17
34,4/22/16 20:20:00,24.73,90.30,23.06,0.0341,1,0.0,4.17
35,4/22/16 20:25:00,24.82,89.90,23.08,0.0341,1,0.0,4.17
36,4/22/16 20:30:00,24.82,91.00,23.28,0.0350,1,0.0,4.17
37,4/22/16 20:35:00,24.80,92.70,23.57,0.0354,1,0.0,4.17
38,4/22/16 20:40:00,24.63,93.20,23.49,0.0354,1,0.0,4.17
39,4/22/16 20:45:00,24.48,93.30,23.36,0.0354,1,0.0,4.17
40,4/22/16 20:50:00,24.41,93.50,23.33,0.0354,1,0.0,4.17
41,4/22/16 20:55:00,24.29,93.60,23.22,0.0363,1,0.0,4.17
42,4/22/16 21:00:00,24.22,94.30,23.28,0.0354,1,0.0,4.16
43,4/22/16 21:05:00,24.12,94.40,23.20,0.0363,1,0.0,4.16
44,4/22/16 21:10:00,24.05,94.80,23.20,0.0363,1,0.0,4.17
45,4/22/16 21:15:00,24.03,95.10,23.22,0.0341,1,0.0,4.17
46,4/22/16 21:20:00,23.93,95.10,23.13,0.0350,1,0.0,4.17
47,4/22/16 21:25:00,23.91,95.40,23.16,0.0363,1,0.0,4.17
48,4/22/16 21:30:00,23.86,95.10,23.06,0.0350,1,0.0,4.17
49,4/22/16 21:35:00,23.83,94.80,22.98,0.0350,1,0.0,4.17
50,4/22/16 21:40:00,23.83,94.90,23.00,0.0350,1,0.0,4.17
51,4/22/16 21:45:00,23.79,94.60,22.90,0.0413,1,0.0,4.17
52,4/22/16 21:50:00,23.69,94.40,22.77,0.0354,1,0.0,4.17
53,4/22/16 21:55:00,23.76,94.30,22.82,0.0363,1,0.0,4.17
54,4/22/16 22:00:00,23.66,94.30,22.72,0.0354,1,0.0,4.17
55,4/22/16 22:05:00,23.59,94.60,22.71,0.0354,1,0.0,4.17
56,4/22/16 22:10:00,23.59,94.90,22.76,0.0363,1,0.0,4.17
57,4/22/16 22:15:00,23.52,95.10,22.72,0.0363,1,0.0,4.17
58,4/22/16 22:20:00,23.57,94.90,22.73,0.0363,1,0.0,4.17
59,4/22/16 22:25:00,23.57,94.90,22.73,0.0375,1,0.0,4.17
60,4/22/16 22:30:00,23.47,95.10,22.67,0.0384,1,0.0,4.17
61,4/22/16 22:35:00,23.47,95.30,22.71,0.0384,1,0.0,4.17
62,4/22/16 22:40:00,23.45,95.10,22.65,0.0375,1,0.0,4.17
63,4/22/16 22:45:00,23.47,95.00,22.66,0.0384,1,0.0,4.17
64,4/22/16 22:50:00,23.42,94.80,22.57,0.0384,1,0.0,4.17
65,4/22/16 22:55:00,23.42,94.80,22.57,0.0384,1,0.0,4.17
66,4/22/16 23:00:00,23.45,94.70,22.58,0.0375,1,0.0,4.16
67,4/22/16 23:05:00,23.45,94.70,22.58,0.0371,1,0.0,4.17
68,4/22/16 23:10:00,23.38,94.90,22.54,0.0371,1,0.0,4.17
69,4/22/16 23:15:00,23.28,95.00,22.46,0.0384,1,0.0,4.17
70,4/22/16 23:20:00,23.28,95.20,22.50,0.0375,1,0.0,4.17
71,4/22/16 23:25:00,23.26,95.30,22.49,0.0375,1,0.0,4.17
72,4/22/16 23:30:00,23.18,95.50,22.45,0.0371,1,0.0,4.17
73,4/22/16 23:35:00,23.16,95.60,22.45,0.0371,1,0.0,4.17
74,4/22/16 23:40:00,23.11,95.50,22.38,0.0375,1,0.0,4.17
75,4/22/16 23:45:00,23.11,95.70,22.42,0.0375,1,0.0,4.17
76,4/22/16 23:50:00,23.09,95.70,22.39,0.0384,1,0.0,4.17
77,4/22/16 23:55:00,23.09,95.90,22.43,0.0384,1,0.0,4.17
78,4/23/16 00:00:00,23.04,96.20,22.43,0.0384,1,0.0,4.17
79,4/23/16 00:05:00,23.02,96.20,22.41,0.0384,1,0.0,4.17
80,4/23/16 00:10:00,22.99,96.20,22.38,0.0384,1,0.0,4.17
81,4/23/16 00:15:00,22.99,96.20,22.38,0.0384,1,0.0,4.17
82,4/23/16 00:20:00,22.97,96.20,22.36,0.0384,1,0.0,4.17
83,4/23/16 00:25:00,22.94,96.20,22.34,0.0384,1,0.0,4.17
84,4/23/16 00:30:00,22.85,96.40,22.27,0.0384,1,0.0,4.17
85,4/23/16 00:35:00,22.80,96.60,22.26,0.0375,1,0.0,4.17
86,4/23/16 00:40:00,22.73,96.70,22.21,0.0384,1,0.0,4.17
87,4/23/16 00:45:00,22.66,96.90,22.17,0.0384,1,0.0,4.17
88,4/23/16 00:50:00,22.61,97.00,22.14,0.0401,1,0.0,4.17
89,4/23/16 00:55:00,22.51,96.90,22.03,0.0434,1,0.0,4.15
90,4/23/16 01:00:00,22.47,97.10,22.01,0.0401,1,0.0,4.16
91,4/23/16 01:05:00,22.44,97.10,21.99,0.0401,1,0.0,4.17
92,4/23/16 01:10:00,22.42,97.20,21.98,0.0405,1,0.0,4.20
93,4/23/16 01:15:00,22.37,97.20,21.93,0.0401,1,0.0,4.17
94,4/23/16 01:20:00,22.32,97.20,21.89,0.0421,1,0.0,4.17
95,4/23/16 01:25:00,22.37,97.30,21.95,0.0413,1,0.0,4.17
96,4/23/16 01:30:00,22.39,97.40,21.99,0.0405,1,0.0,4.17
97,4/23/16 01:35:00,22.37,97.60,22.00,0.0405,1,0.0,4.17
98,4/23/16 01:40:00,22.32,97.70,21.97,0.0421,1,0.0,4.17
99,4/23/16 01:45:00,22.23,97.60,21.86,0.0413,1,0.0,4.17
100,4/23/16 01:50:00,22.13,97.60,21.76,0.0413,1,0.0,4.17
101,4/23/16 01:55:00,22.06,97.20,21.62,0.0421,1,0.0,4.17
102,4/23/16 02:00:00,22.03,96.00,21.40,0.0421,1,0.0,4.17
103,4/23/16 02:05:00,22.44,93.20,21.32,0.0421,1,0.0,4.17
104,4/23/16 02:10:00,22.58,90.80,21.03,0.0421,1,0.0,4.17
105,4/23/16 02:15:00,22.58,89.30,20.76,0.0421,1,0.0,4.17
106,4/23/16 02:20:00,22.70,87.90,20.62,0.0425,1,0.0,4.17
107,4/23/16 02:25:00,22.73,87.50,20.57,0.0425,1,0.0,4.17
108,4/23/16 02:30:00,22.61,87.50,20.45,0.0434,1,0.0,4.17
109,4/23/16 02:35:00,22.61,86.20,20.21,0.0425,1,0.0,4.17
110,4/23/16 02:40:00,22.70,85.60,20.19,0.0434,1,0.0,4.17
111,4/23/16 02:45:00,22.82,84.60,20.12,0.0442,1,0.0,4.20
112,4/23/16 02:50:00,22.87,83.40,19.94,0.0446,1,0.0,4.17
113,4/23/16 02:55:00,22.90,82.90,19.86,0.0442,1,0.0,4.16
114,4/23/16 03:00:00,23.02,82.30,19.86,0.0442,1,0.0,4.16
115,4/23/16 03:05:00,22.92,82.30,19.77,0.0462,1,0.0,4.17
116,4/23/16 03:10:00,22.90,82.60,19.80,0.0482,1,0.0,4.17
117,4/23/16 03:15:00,22.90,81.60,19.61,0.0446,1,0.0,4.17
118,4/23/16 03:20:00,22.82,81.90,19.60,0.0442,1,0.0,4.17
119,4/23/16 03:25:00,22.73,82.30,19.58,0.0446,1,0.0,4.17
120,4/23/16 03:30:00,22.66,82.40,19.53,0.0446,1,0.0,4.17
121,4/23/16 03:35:00,22.58,83.30,19.63,0.0446,1,0.0,4.17
122,4/23/16 03:40:00,22.37,87.10,20.14,0.0446,1,0.0,4.17
123,4/23/16 03:45:00,22.27,88.90,20.38,0.0454,1,0.0,4.17
124,4/23/16 03:50:00,22.15,90.30,20.52,0.0454,1,0.0,4.17
125,4/23/16 03:55:00,22.01,90.80,20.46,0.0454,1,0.0,4.17
126,4/23/16 04:00:00,21.96,90.00,20.27,0.0454,1,0.0,4.17
127,4/23/16 04:05:00,22.27,87.10,20.05,0.0462,1,0.0,4.17
128,4/23/16 04:10:00,22.18,86.90,19.92,0.0596,1,0.0,4.17
129,4/23/16 04:15:00,22.25,88.10,20.21,0.0588,1,0.0,4.17
130,4/23/16 04:20:00,21.99,89.20,20.15,0.0470,1,0.0,4.17
131,4/23/16 04:25:00,21.91,89.30,20.10,0.0490,1,0.0,4.17
132,4/23/16 04:30:00,22.06,88.40,20.08,0.0494,1,0.0,4.17
133,4/23/16 04:35:00,22.13,87.90,20.06,0.0482,1,0.0,4.19
134,4/23/16 04:40:00,22.13,88.20,20.11,0.0474,1,0.0,4.17
135,4/23/16 04:45:00,22.13,87.80,20.04,0.0482,1,0.0,4.17
136,4/23/16 04:50:00,22.25,87.00,20.01,0.0482,1,0.0,4.20
137,4/23/16 04:55:00,22.35,86.00,19.91,0.0490,1,0.0,4.16
138,4/23/16 05:00:00,22.37,85.80,19.90,0.0482,1,0.0,4.16
139,4/23/16 05:05:00,22.47,85.60,19.96,0.0490,1,0.0,4.17
140,4/23/16 05:10:00,22.06,89.60,20.30,0.0490,1,0.0,4.17
141,4/23/16 05:15:00,21.89,91.20,20.42,0.0490,1,0.0,4.17
142,4/23/16 05:20:00,21.75,92.20,20.45,0.0490,1,0.0,4.17
143,4/23/16 05:25:00,21.70,93.40,20.62,0.0494,1,0.0,4.17
144,4/23/16 05:30:00,21.63,94.20,20.68,0.0494,1,0.0,4.17
145,4/23/16 05:35:00,21.53,94.80,20.69,0.0494,6,0.0,4.17
146,4/23/16 05:40:00,21.53,95.50,20.81,0.0501,9,0.0,4.17
147,4/23/16 05:45:00,21.51,96.00,20.87,0.0501,14,0.0,4.17
148,4/23/16 05:50:00,21.49,96.20,20.88,0.0509,21,0.0,4.17
149,4/23/16 05:55:00,21.49,96.60,20.95,0.0501,29,0.0,4.17
