Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "KMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364424
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4204
Series Info: 
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 18
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Water Cont, m^3/m^3","PAR, uE","Temp, *C","RH, %","DewPt, *C","Rain, mm","Batt, V"
1,7/6/15 21:30:00,0.2589,1,16.94,96.20,16.35,0.0,4.13
2,7/6/15 21:40:00,0.2589,1,16.75,96.60,16.23,0.0,4.10
3,7/6/15 21:50:00,0.2589,1,16.65,96.90,16.18,0.0,4.10
4,7/6/15 22:00:00,0.2585,1,16.70,97.20,16.28,0.0,4.10
5,7/6/15 22:10:00,0.2585,1,16.56,97.30,16.15,0.0,4.11
6,7/6/15 22:20:00,0.2589,1,16.56,97.30,16.15,0.0,4.11
7,7/6/15 22:30:00,0.2585,1,16.58,97.80,16.25,0.0,4.10
8,7/6/15 22:40:00,0.2585,1,16.42,97.80,16.09,0.0,4.10
9,7/6/15 22:50:00,0.2582,1,16.46,98.20,16.20,0.0,4.10
10,7/6/15 23:00:00,0.2582,1,16.46,98.20,16.20,0.0,4.11
11,7/6/15 23:10:00,0.2582,1,16.49,98.20,16.22,0.0,4.11
12,7/6/15 23:20:00,0.2582,1,16.39,98.30,16.14,0.0,4.11
13,7/6/15 23:30:00,0.2579,1,16.42,98.00,16.12,0.0,4.10
14,7/6/15 23:40:00,0.2579,1,16.49,97.90,16.17,0.0,4.10
15,7/6/15 23:50:00,0.2582,1,16.44,98.00,16.14,0.0,4.11
16,7/7/15 00:00:00,0.2579,1,16.39,98.10,16.11,0.0,4.11
17,7/7/15 00:10:00,0.2579,1,16.30,98.10,16.02,0.0,4.11
18,7/7/15 00:20:00,0.2579,1,16.34,98.00,16.05,0.0,4.11
19,7/7/15 00:30:00,0.2575,1,16.32,98.30,16.07,0.0,4.10
20,7/7/15 00:40:00,0.2575,1,16.27,98.20,16.01,0.0,4.10
21,7/7/15 00:50:00,0.2579,1,16.27,98.20,16.01,0.0,4.10
22,7/7/15 01:00:00,0.2575,1,16.42,98.10,16.14,0.0,4.11
23,7/7/15 01:10:00,0.2575,1,16.32,98.30,16.07,0.0,4.11
24,7/7/15 01:20:00,0.2575,1,16.27,98.30,16.02,0.0,4.11
25,7/7/15 01:30:00,0.2575,1,16.20,98.30,15.95,0.0,4.10
26,7/7/15 01:40:00,0.2571,1,16.20,98.30,15.95,0.0,4.11
27,7/7/15 01:50:00,0.2575,1,16.18,98.40,15.94,0.0,4.11
28,7/7/15 02:00:00,0.2571,1,16.13,98.50,15.91,0.0,4.11
29,7/7/15 02:10:00,0.2571,1,16.03,98.50,15.82,0.0,4.11
30,7/7/15 02:20:00,0.2571,1,16.06,98.70,15.87,0.0,4.11
31,7/7/15 02:30:00,0.2571,1,16.08,98.70,15.90,0.0,4.10
32,7/7/15 02:40:00,0.2571,1,16.01,98.80,15.84,0.0,4.10
33,7/7/15 02:50:00,0.2571,1,15.96,98.90,15.81,0.0,4.11
34,7/7/15 03:00:00,0.2567,1,15.94,98.90,15.79,0.0,4.11
35,7/7/15 03:10:00,0.2567,1,15.91,99.00,15.78,0.0,4.10
36,7/7/15 03:20:00,0.2567,1,15.82,99.00,15.68,0.0,4.11
37,7/7/15 03:30:00,0.2567,1,16.11,98.70,15.92,0.0,4.10
38,7/7/15 03:40:00,0.2567,1,16.08,98.20,15.82,0.0,4.11
39,7/7/15 03:50:00,0.2567,1,15.91,98.20,15.65,0.0,4.11
40,7/7/15 04:00:00,0.2564,1,15.89,98.50,15.67,0.0,4.10
41,7/7/15 04:10:00,0.2564,1,15.84,98.60,15.64,0.0,4.11
42,7/7/15 04:20:00,0.2567,1,15.77,98.70,15.59,0.0,4.10
43,7/7/15 04:30:00,0.2564,1,15.82,98.90,15.67,0.0,4.10
44,7/7/15 04:40:00,0.2564,1,15.72,98.80,15.56,0.0,4.10
45,7/7/15 04:50:00,0.2564,1,15.70,98.80,15.53,0.0,4.11
46,7/7/15 05:00:00,0.2560,1,15.70,99.10,15.58,0.0,4.11
47,7/7/15 05:10:00,0.2564,1,15.72,99.10,15.60,0.0,4.11
48,7/7/15 05:20:00,0.2564,4,15.80,99.10,15.67,0.0,4.11
49,7/7/15 05:30:00,0.2560,9,15.77,99.10,15.65,0.0,4.10
50,7/7/15 05:40:00,0.2560,16,15.87,99.40,15.79,0.0,4.11
51,7/7/15 05:50:00,0.2560,24,15.87,99.40,15.79,0.0,4.11
52,7/7/15 06:00:00,0.2557,31,15.89,99.40,15.82,0.0,4.11
53,7/7/15 06:10:00,0.2557,36,16.01,99.40,15.94,0.0,4.11
54,7/7/15 06:20:00,0.2560,51,16.01,99.40,15.94,0.0,4.11
55,7/7/15 06:30:00,0.2553,79,16.18,99.50,16.12,0.0,4.10
56,7/7/15 06:40:00,0.2553,86,16.44,99.40,16.37,0.0,4.10
57,7/7/15 06:50:00,0.2553,106,16.49,99.00,16.35,0.0,4.10
58,7/7/15 07:00:00,0.2550,131,16.70,98.50,16.48,0.0,4.11
59,7/7/15 07:10:00,0.2550,134,16.94,97.60,16.58,0.0,4.10
60,7/7/15 07:20:00,0.2550,136,16.96,96.50,16.42,0.0,4.10
61,7/7/15 07:30:00,0.2550,164,17.03,96.40,16.48,0.0,4.10
62,7/7/15 07:40:00,0.2546,191,17.30,95.80,16.64,0.0,4.10
63,7/7/15 07:50:00,0.2546,209,17.42,94.30,16.51,0.0,4.10
64,7/7/15 08:00:00,0.2542,271,17.77,92.70,16.60,0.0,4.10
65,7/7/15 08:10:00,0.2538,379,18.20,91.60,16.83,0.0,4.12
66,7/7/15 08:20:00,0.2534,466,18.56,90.30,16.96,0.0,4.10
67,7/7/15 08:30:00,0.2532,506,19.06,88.60,17.15,0.0,4.10
68,7/7/15 08:40:00,0.2528,549,19.17,87.70,17.11,0.0,4.10
69,7/7/15 08:50:00,0.2528,591,19.53,86.40,17.22,0.0,4.10
70,7/7/15 09:00:00,0.2520,734,20.06,84.60,17.40,0.0,4.10
71,7/7/15 09:10:00,0.2516,856,20.53,81.80,17.34,0.0,4.10
72,7/7/15 09:20:00,0.2512,799,20.72,81.10,17.39,0.0,4.10
73,7/7/15 09:30:00,0.2505,1119,21.80,77.70,17.75,0.0,4.10
74,7/7/15 09:40:00,0.2487,1851,23.28,73.20,18.24,0.0,4.10
75,7/7/15 09:50:00,0.2490,1171,22.30,71.20,16.85,0.0,4.10
76,7/7/15 10:00:00,0.2471,1729,22.51,71.70,17.17,0.0,4.10
77,7/7/15 10:10:00,0.2475,1376,21.91,73.10,16.90,0.0,4.10
78,7/7/15 10:20:00,0.2475,1126,22.23,71.70,16.89,0.0,4.10
79,7/7/15 10:30:00,0.2483,639,22.01,71.90,16.73,0.0,4.10
80,7/7/15 10:40:00,0.2490,569,21.51,73.50,16.59,0.0,4.13
81,7/7/15 10:50:00,0.2494,509,20.89,73.80,16.06,0.0,4.10
82,7/7/15 11:00:00,0.2498,476,20.32,77.70,16.32,0.0,4.10
83,7/7/15 11:10:00,0.2509,494,19.65,83.20,16.74,0.0,4.10
84,7/7/15 11:20:00,0.2550,539,19.34,87.60,17.25,0.2,4.10
85,7/7/15 11:30:00,0.2553,574,19.58,88.80,17.70,0.0,4.10
86,7/7/15 11:40:00,0.2550,529,19.63,87.80,17.57,0.0,4.10
87,7/7/15 11:50:00,0.2546,561,19.79,87.70,17.72,0.4,4.10
88,7/7/15 12:00:00,0.2571,676,20.32,85.90,17.90,0.2,4.10
89,7/7/15 12:10:00,0.2589,764,20.91,87.20,18.73,0.2,4.10
90,7/7/15 12:20:00,0.2589,851,21.25,82.80,18.23,0.0,4.10
91,7/7/15 12:30:00,0.2592,789,20.44,81.20,17.13,0.0,4.10
92,7/7/15 12:40:00,0.2604,784,20.53,81.60,17.30,0.0,4.10
93,7/7/15 12:50:00,0.2611,736,20.58,82.30,17.48,0.0,4.10
94,7/7/15 13:00:00,0.2611,804,20.79,83.00,17.82,0.0,4.10
95,7/7/15 13:10:00,0.2621,886,20.86,83.20,17.93,0.0,4.10
96,7/7/15 13:20:00,0.2611,1074,21.39,81.40,18.10,0.0,4.10
97,7/7/15 13:30:00,0.2604,1209,21.91,78.00,17.93,0.0,4.10
98,7/7/15 13:40:00,0.2589,1389,22.85,75.50,18.31,0.0,4.10
99,7/7/15 13:50:00,0.2585,1111,22.63,72.30,17.42,0.0,4.10
100,7/7/15 14:00:00,0.2582,771,22.37,72.50,17.21,0.0,4.10
101,7/7/15 14:10:00,0.2582,641,22.35,71.10,16.88,0.0,4.10
102,7/7/15 14:20:00,0.2579,741,22.44,70.90,16.92,0.0,4.10
103,7/7/15 14:30:00,0.2575,726,22.37,72.90,17.29,0.0,4.10
104,7/7/15 14:40:00,0.2571,796,22.78,73.50,17.82,0.0,4.10
105,7/7/15 14:50:00,0.2564,794,22.61,73.50,17.65,0.0,4.10
106,7/7/15 15:00:00,0.2560,756,22.63,72.00,17.35,0.0,4.10
107,7/7/15 15:10:00,0.2553,951,23.06,71.60,17.68,0.0,4.10
108,7/7/15 15:20:00,0.2546,1069,23.52,67.80,17.25,0.0,4.13
109,7/7/15 15:30:00,0.2538,1061,23.59,66.90,17.11,0.0,4.10
110,7/7/15 15:40:00,0.2534,1099,23.86,65.20,16.95,0.0,4.10
111,7/7/15 15:50:00,0.2538,699,23.59,63.80,16.36,0.0,4.10
112,7/7/15 16:00:00,0.2538,489,23.30,65.10,16.40,0.0,4.10
113,7/7/15 16:10:00,0.2542,426,23.14,65.10,16.24,0.0,4.10
114,7/7/15 16:20:00,0.2542,436,23.21,66.00,16.53,0.0,4.10
115,7/7/15 16:30:00,0.2538,381,22.75,66.70,16.26,0.0,4.10
116,7/7/15 16:40:00,0.2538,321,22.44,65.60,15.70,0.0,4.10
117,7/7/15 16:50:00,0.2542,226,22.03,66.30,15.48,0.0,4.10
118,7/7/15 17:00:00,0.2542,214,21.77,68.90,15.83,0.0,4.10
119,7/7/15 17:10:00,0.2542,166,21.51,71.10,16.07,0.0,4.10
120,7/7/15 17:20:00,0.2546,121,21.20,71.40,15.84,0.0,4.10
121,7/7/15 17:30:00,0.2546,129,21.22,70.70,15.71,0.0,4.10
122,7/7/15 17:40:00,0.2546,126,20.84,72.20,15.67,0.0,4.10
123,7/7/15 17:50:00,0.2546,141,20.58,75.80,16.18,0.0,4.10
124,7/7/15 18:00:00,0.2542,151,20.56,77.30,16.47,0.0,4.10
125,7/7/15 18:10:00,0.2546,141,20.48,79.40,16.82,0.0,4.10
126,7/7/15 18:20:00,0.2546,119,20.46,81.90,17.29,0.0,4.10
127,7/7/15 18:30:00,0.2542,71,20.20,78.40,16.34,0.0,4.10
128,7/7/15 18:40:00,0.2546,29,19.98,79.60,16.37,0.0,4.10
129,7/7/15 18:50:00,0.2550,19,19.46,81.00,16.14,0.0,4.10
130,7/7/15 19:00:00,0.2550,6,19.06,83.30,16.18,0.0,4.10
131,7/7/15 19:10:00,0.2553,1,18.46,85.00,15.91,0.0,4.10
132,7/7/15 19:20:00,0.2553,1,17.87,87.60,15.80,0.0,4.11
133,7/7/15 19:30:00,0.2553,1,17.75,88.10,15.77,0.0,4.10
134,7/7/15 19:40:00,0.2557,1,17.44,88.60,15.56,0.0,4.10
135,7/7/15 19:50:00,0.2557,1,17.44,89.10,15.64,0.0,4.10
136,7/7/15 20:00:00,0.2553,1,17.65,87.80,15.63,0.0,4.10
137,7/7/15 20:10:00,0.2550,1,17.77,87.30,15.65,0.0,4.10
138,7/7/15 20:20:00,0.2550,1,17.70,87.60,15.64,0.0,4.10
139,7/7/15 20:30:00,0.2550,1,17.53,89.00,15.72,0.0,4.10
140,7/7/15 20:40:00,0.2615,1,17.37,90.90,15.89,0.4,4.10
141,7/7/15 20:50:00,0.2646,1,16.75,94.30,15.85,0.8,4.10
142,7/7/15 21:00:00,0.2691,1,16.75,95.60,16.06,0.6,4.10
143,7/7/15 21:10:00,0.2715,1,16.53,96.30,15.96,0.4,4.11
144,7/7/15 21:20:00,0.2746,1,16.42,96.60,15.89,0.6,4.11
145,7/7/15 21:30:00,0.2837,1,16.27,96.00,15.65,1.2,4.10
146,7/7/15 21:40:00,0.2793,1,16.06,96.40,15.50,0.4,4.10
147,7/7/15 21:50:00,0.2746,1,16.11,96.60,15.58,0.2,4.10
148,7/7/15 22:00:00,0.2719,1,16.01,97.10,15.57,0.0,4.11
