Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "KMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364424
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4204
Series Info: 
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Water Cont, m^3/m^3","PAR, uE","Temp, *C","RH, %","DewPt, *C","Batt, V"
551,3/15/15 08:50:00,0.0214,876,12.44,67.40,6.58,3.85
552,3/15/15 09:00:00,0.0224,954,12.92,65.60,6.65,3.85
553,3/15/15 09:10:00,0.0224,1039,14.15,63.00,7.22,3.85
554,3/15/15 09:20:00,0.0238,1114,14.31,59.70,6.59,3.85
555,3/15/15 09:30:00,0.0238,1189,15.17,56.70,6.65,3.85
556,3/15/15 09:40:00,0.0261,1249,15.46,54.70,6.40,3.85
557,3/15/15 09:50:00,0.0274,1321,15.53,53.10,6.03,3.84
558,3/15/15 10:00:00,0.0297,1364,16.92,51.10,6.76,3.84
559,3/15/15 10:10:00,0.0306,1421,17.11,50.20,6.67,3.84
560,3/15/15 10:20:00,0.0319,1306,17.30,47.70,6.11,3.84
561,3/15/15 10:30:00,0.0328,1506,18.32,44.90,6.16,3.84
562,3/15/15 10:40:00,0.0328,1539,19.25,40.20,5.40,3.84
563,3/15/15 10:50:00,0.0341,1621,20.53,36.90,5.32,3.84
564,3/15/15 11:00:00,0.0341,1671,20.89,31.20,3.24,3.84
565,3/15/15 11:10:00,0.0350,1714,21.44,28.60,2.49,3.85
566,3/15/15 11:20:00,0.0350,1741,21.58,27.60,2.11,3.84
567,3/15/15 11:30:00,0.0341,1764,21.44,27.50,1.94,3.84
568,3/15/15 11:40:00,0.0341,1786,21.77,27.50,2.22,3.84
569,3/15/15 11:50:00,0.0341,1834,21.22,27.50,1.75,3.84
570,3/15/15 12:00:00,0.0332,1896,21.37,27.20,1.72,3.84
571,3/15/15 12:10:00,0.0332,1939,21.84,27.70,2.38,3.84
572,3/15/15 12:20:00,0.0306,1521,21.22,27.90,1.95,3.84
573,3/15/15 12:30:00,0.0306,1476,21.87,29.00,3.05,3.84
574,3/15/15 12:40:00,0.0306,1754,21.89,28.40,2.78,3.84
575,3/15/15 12:50:00,0.0297,1506,21.84,28.50,2.79,3.84
576,3/15/15 13:00:00,0.0297,1616,21.63,28.30,2.50,3.84
577,3/15/15 13:10:00,0.0306,1646,21.89,28.80,2.97,3.84
578,3/15/15 13:20:00,0.0288,1479,21.89,28.20,2.68,3.85
579,3/15/15 13:30:00,0.0297,1686,22.15,28.90,3.25,3.85
580,3/15/15 13:40:00,0.0288,1614,22.32,28.50,3.20,3.85
581,3/15/15 13:50:00,0.0288,1566,21.82,29.10,3.06,3.84
582,3/15/15 14:00:00,0.0288,1519,21.87,30.50,3.77,3.85
583,3/15/15 14:10:00,0.0274,1359,21.25,32.90,4.30,3.85
584,3/15/15 14:20:00,0.0270,1416,21.20,33.90,4.69,3.85
585,3/15/15 14:30:00,0.0261,1351,21.46,34.10,5.00,3.85
586,3/15/15 14:40:00,0.0247,1274,21.06,34.70,4.90,3.85
587,3/15/15 14:50:00,0.0238,1221,20.72,35.10,4.77,3.85
588,3/15/15 15:00:00,0.0228,1189,21.08,33.60,4.46,3.85
589,3/15/15 15:10:00,0.0224,1111,20.82,33.60,4.23,3.85
590,3/15/15 15:20:00,0.0214,1054,21.13,33.50,4.46,3.85
591,3/15/15 15:30:00,0.0205,1001,20.75,33.70,4.21,3.85
592,3/15/15 15:40:00,0.0186,676,19.91,36.00,4.41,3.85
593,3/15/15 15:50:00,0.0161,471,19.03,38.00,4.41,3.85
594,3/15/15 16:00:00,0.0152,489,19.15,38.90,4.85,3.85
595,3/15/15 16:10:00,0.0152,534,18.77,38.70,4.43,3.85
