Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "KMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364424
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4204
Series Info: 
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 4
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Water Cont, m^3/m^3","PAR, uE","Temp, *C","RH, %","DewPt, *C","Rain, mm","Batt, V"
1,3/10/15 15:40:00,0.0474,911,19.44,28.20,0.57,0.0,3.85
2,3/10/15 15:50:00,0.0462,846,19.06,28.60,0.44,0.0,3.85
3,3/10/15 16:00:00,0.0454,776,18.41,30.20,0.63,0.0,3.85
4,3/10/15 16:10:00,0.0446,689,18.41,31.80,1.35,0.0,3.86
5,3/10/15 16:20:00,0.0434,566,18.18,32.80,1.57,0.0,3.86
6,3/10/15 16:30:00,0.0425,539,17.84,34.30,1.91,0.0,3.81
7,3/10/15 16:40:00,0.0413,311,16.82,36.10,1.72,0.0,3.86
8,3/10/15 16:50:00,0.0405,164,16.30,37.80,1.89,0.0,3.86
9,3/10/15 17:00:00,0.0405,144,15.99,39.20,2.13,0.0,3.86
10,3/10/15 17:10:00,0.0405,124,15.72,40.60,2.38,0.0,3.86
11,3/10/15 17:20:00,0.0413,104,15.49,41.00,2.31,0.0,3.86
12,3/10/15 17:30:00,0.0421,84,15.34,41.70,2.41,0.0,3.84
13,3/10/15 17:40:00,0.0421,61,15.15,43.30,2.77,0.0,3.86
14,3/10/15 17:50:00,0.0425,41,14.77,44.40,2.78,0.0,3.87
15,3/10/15 18:00:00,0.0434,21,14.55,45.40,2.90,0.0,3.86
16,3/10/15 18:10:00,0.0442,9,14.43,46.30,3.06,0.0,3.86
17,3/10/15 18:20:00,0.0442,1,14.17,47.20,3.09,0.0,3.86
18,3/10/15 18:30:00,0.0446,1,13.06,49.90,2.86,0.0,3.85
19,3/10/15 18:40:00,0.0454,1,13.55,50.10,3.36,0.0,3.86
20,3/10/15 18:50:00,0.0454,1,13.35,50.70,3.36,0.0,3.86
21,3/10/15 19:00:00,0.0462,1,12.87,53.90,3.78,0.0,3.86
22,3/10/15 19:10:00,0.0470,1,12.82,55.10,4.05,0.0,3.86
23,3/10/15 19:20:00,0.0470,1,11.78,55.70,3.23,0.0,3.86
24,3/10/15 19:30:00,0.0474,1,11.49,54.10,2.55,0.0,3.85
25,3/10/15 19:40:00,0.0474,1,11.08,54.60,2.29,0.0,3.86
26,3/10/15 19:50:00,0.0482,1,10.79,55.70,2.30,0.0,3.86
27,3/10/15 20:00:00,0.0490,1,10.49,56.70,2.27,0.0,3.86
28,3/10/15 20:10:00,0.0490,1,10.34,57.50,2.33,0.0,3.86
29,3/10/15 20:20:00,0.0490,1,10.03,58.20,2.20,0.0,3.86
30,3/10/15 20:30:00,0.0494,1,9.83,58.60,2.11,0.0,3.85
31,3/10/15 20:40:00,0.0494,1,9.09,60.50,1.86,0.0,3.86
32,3/10/15 20:50:00,0.0501,1,8.82,62.30,2.01,0.0,3.86
33,3/10/15 21:00:00,0.0501,1,8.44,63.40,1.91,0.0,3.86
34,3/10/15 21:10:00,0.0501,1,8.89,63.30,2.31,0.0,3.86
35,3/10/15 21:20:00,0.0509,1,8.05,64.90,1.85,0.0,3.86
36,3/10/15 21:30:00,0.0509,1,7.22,68.00,1.71,0.0,3.84
37,3/10/15 21:40:00,0.0517,1,6.89,70.50,1.90,0.0,3.86
38,3/10/15 21:50:00,0.0517,1,6.81,71.40,2.01,0.0,3.86
39,3/10/15 22:00:00,0.0521,1,6.56,72.80,2.04,0.0,3.86
40,3/10/15 22:10:00,0.0521,1,6.46,74.10,2.19,0.0,3.87
41,3/10/15 22:20:00,0.0521,1,6.15,75.30,2.12,0.0,3.87
42,3/10/15 22:30:00,0.0528,1,6.03,76.60,2.23,0.0,3.85
43,3/10/15 22:40:00,0.0528,1,5.85,78.00,2.31,0.0,3.87
44,3/10/15 22:50:00,0.0536,1,5.72,78.50,2.28,0.0,3.87
45,3/10/15 23:00:00,0.0536,1,5.39,79.00,2.04,0.0,3.87
46,3/10/15 23:10:00,0.0536,1,5.18,80.10,2.04,0.0,3.87
47,3/10/15 23:20:00,0.0544,1,5.05,80.70,2.01,0.0,3.86
