Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "JHSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364425
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4205
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Water Cont"
    type: value
    unitName: ""
    OMClassName: OMWaterContent2_HWS
    OMPartNumber: S-SMD-M005
    OMUnitIndex: 0
    OMChannelType: 18
    OMValuePattern: "#,##0.0000;-#,##0.0000"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Water Cont, m^3/m^3","PAR, uE","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","Batt, V"
1,11/18/15 12:10:00,12.99,50.00,2.83,0.2112,1429,2.3,5.5,307,4.07
2,11/18/15 12:20:00,12.87,49.30,2.52,0.2078,1114,2.8,5.8,299,4.08
3,11/18/15 12:30:00,13.67,49.60,3.33,0.2087,1474,2.5,5.3,291,4.08
4,11/18/15 12:40:00,13.95,49.20,3.48,0.2070,1474,2.0,6.3,275,4.09
5,11/18/15 12:50:00,13.95,50.90,3.97,0.2061,1441,2.5,6.0,299,4.09
6,11/18/15 13:00:00,13.64,50.30,3.51,0.2070,1411,2.3,5.3,309,4.07
7,11/18/15 13:10:00,12.56,51.80,2.92,0.2073,1384,2.8,8.6,289,4.08
8,11/18/15 13:20:00,11.98,54.60,3.13,0.2112,786,2.8,6.8,279,4.09
9,11/18/15 13:30:00,11.95,54.90,3.18,0.2070,959,2.5,5.8,277,4.09
10,11/18/15 13:40:00,11.42,56.40,3.06,0.2064,791,3.0,8.1,289,4.09
11,11/18/15 13:50:00,11.18,57.40,3.08,0.2109,864,3.0,7.8,275,4.09
12,11/18/15 14:00:00,10.61,60.70,3.35,0.2092,544,3.0,7.6,275,4.08
13,11/18/15 14:10:00,11.25,60.70,3.95,0.2092,944,2.5,6.5,272,4.09
14,11/18/15 14:20:00,11.88,60.40,4.47,0.2083,1031,2.3,7.3,278,4.09
15,11/18/15 14:30:00,11.05,60.30,3.67,0.2056,849,2.5,7.6,285,4.09
16,11/18/15 14:40:00,10.93,63.40,4.27,0.2078,814,2.5,6.3,288,4.09
17,11/18/15 14:50:00,11.22,63.50,4.57,0.2064,969,2.5,5.3,291,4.09
18,11/18/15 15:00:00,10.86,63.80,4.29,0.2070,971,2.8,6.0,291,4.08
19,11/18/15 15:10:00,10.49,64.90,4.18,0.2064,721,3.0,7.8,288,4.09
20,11/18/15 15:20:00,9.90,69.30,4.56,0.2070,401,2.3,6.0,286,4.09
21,11/18/15 15:30:00,9.48,72.90,4.88,0.2073,326,2.5,5.3,272,4.12
22,11/18/15 15:40:00,9.46,72.40,4.76,0.2078,261,2.5,5.5,265,4.09
23,11/18/15 15:50:00,8.67,75.80,4.65,0.2078,171,1.8,7.6,264,4.09
24,11/18/15 16:00:00,8.44,78.10,4.86,0.2083,149,2.5,5.0,284,4.08
25,11/18/15 16:10:00,8.42,77.70,4.76,0.2092,146,1.3,4.0,285,4.09
26,11/18/15 16:20:00,8.69,74.90,4.50,0.2092,116,1.3,4.0,285,4.09
27,11/18/15 16:30:00,8.59,73.10,4.06,0.2083,76,0.3,1.8,282,4.09
28,11/18/15 16:40:00,8.54,71.10,3.61,0.2092,56,0.3,2.5,49,4.09
29,11/18/15 16:50:00,8.07,71.90,3.32,0.2092,41,0.0,1.5,10,4.09
30,11/18/15 17:00:00,7.72,77.40,4.02,0.2087,26,0.3,2.8,289,4.08
31,11/18/15 17:10:00,7.04,82.80,4.32,0.2092,6,0.8,3.8,267,4.09
32,11/18/15 17:20:00,6.64,86.60,4.57,0.2100,1,1.0,3.0,271,4.09
33,11/18/15 17:30:00,6.71,87.60,4.81,0.2095,1,0.3,1.8,268,4.09
34,11/18/15 17:40:00,6.08,87.10,4.10,0.2095,1,0.0,1.0,270,4.09
35,11/18/15 17:50:00,6.00,87.60,4.10,0.2100,1,0.0,1.0,270,4.09
36,11/18/15 18:00:00,6.51,87.00,4.51,0.2095,1,0.0,0.5,268,4.08
37,11/18/15 18:10:00,6.28,86.20,4.15,0.2100,1,0.0,2.0,22,4.09
38,11/18/15 18:20:00,6.76,86.90,4.74,0.2104,1,0.0,2.3,25,4.09
39,11/18/15 18:30:00,6.46,90.00,4.94,0.2100,1,0.5,2.3,256,4.09
40,11/18/15 18:40:00,6.20,90.40,4.76,0.2104,1,0.0,1.5,250,4.09
41,11/18/15 18:50:00,5.77,90.20,4.29,0.2104,1,0.0,0.8,241,4.09
42,11/18/15 19:00:00,5.67,91.20,4.35,0.2104,1,0.0,0.3,241,4.08
43,11/18/15 19:10:00,5.72,91.00,4.37,0.2104,1,0.0,1.0,241,4.09
44,11/18/15 19:20:00,5.82,90.90,4.46,0.2109,1,0.3,1.0,241,4.09
45,11/18/15 19:30:00,5.85,90.90,4.48,0.2100,1,0.0,0.0,241,4.11
46,11/18/15 19:40:00,5.82,90.30,4.36,0.2104,1,0.0,0.0,241,4.11
47,11/18/15 19:50:00,6.33,90.90,4.96,0.2109,1,0.0,0.0,241,4.09
48,11/18/15 20:00:00,5.77,91.40,4.48,0.2104,1,0.0,0.8,241,4.07
49,11/18/15 20:10:00,6.10,91.30,4.80,0.2109,1,0.0,0.0,241,4.09
50,11/18/15 20:20:00,6.18,90.90,4.81,0.2109,1,0.0,0.0,241,4.09
51,11/18/15 20:30:00,5.95,90.80,4.57,0.2104,1,0.0,1.0,241,4.09
52,11/18/15 20:40:00,6.00,91.10,4.66,0.2109,1,0.0,0.0,241,4.09
53,11/18/15 20:50:00,6.10,90.80,4.72,0.2112,1,0.0,0.0,241,4.09
54,11/18/15 21:00:00,5.90,91.30,4.59,0.2109,1,0.0,0.5,241,4.07
55,11/18/15 21:10:00,5.87,91.70,4.63,0.2112,1,0.0,0.0,241,4.09
56,11/18/15 21:20:00,5.97,91.70,4.73,0.2117,1,0.0,0.0,241,4.09
57,11/18/15 21:30:00,5.95,92.10,4.77,0.2109,1,0.0,0.8,241,4.09
58,11/18/15 21:40:00,6.05,92.00,4.86,0.2112,1,0.0,1.0,241,4.09
59,11/18/15 21:50:00,6.26,91.50,4.98,0.2117,1,0.0,0.0,241,4.09
60,11/18/15 22:00:00,5.90,90.90,4.53,0.2109,1,0.0,0.8,241,4.07
61,11/18/15 22:10:00,5.72,89.70,4.16,0.2112,1,0.0,0.0,241,4.09
62,11/18/15 22:20:00,5.77,89.50,4.18,0.2117,1,0.0,0.0,241,4.09
63,11/18/15 22:30:00,5.64,89.80,4.10,0.2109,1,0.0,0.0,241,4.09
64,11/18/15 22:40:00,5.41,90.30,3.95,0.2112,1,0.0,0.0,241,4.09
65,11/18/15 22:50:00,5.08,91.50,3.81,0.2117,1,0.0,0.3,241,4.09
66,11/18/15 23:00:00,5.18,92.50,4.07,0.2112,1,0.0,0.5,241,4.07
67,11/18/15 23:10:00,5.21,92.40,4.08,0.2117,1,0.0,0.0,241,4.09
68,11/18/15 23:20:00,5.00,92.60,3.90,0.2122,1,0.0,0.0,241,4.09
69,11/18/15 23:30:00,4.71,93.30,3.73,0.2117,1,0.0,0.5,241,4.09
70,11/18/15 23:40:00,4.71,94.10,3.85,0.2122,1,0.0,0.3,241,4.09
71,11/18/15 23:50:00,4.66,93.70,3.74,0.2126,1,0.3,1.3,241,4.09
72,11/19/15 00:00:00,4.30,92.30,3.16,0.2122,1,0.3,1.3,241,4.07
73,11/19/15 00:10:00,4.09,91.70,2.86,0.2126,1,0.5,1.8,117,4.09
74,11/19/15 00:20:00,3.54,92.20,2.39,0.2131,1,0.0,0.5,98,4.09
75,11/19/15 00:30:00,3.38,92.40,2.27,0.2126,1,0.5,1.8,98,4.09
76,11/19/15 00:40:00,2.77,93.40,1.81,0.2131,1,0.8,1.8,98,4.09
77,11/19/15 00:50:00,2.58,93.30,1.61,0.2134,1,0.8,1.8,95,4.09
78,11/19/15 01:00:00,2.37,93.60,1.44,0.2131,1,1.0,2.3,69,4.07
79,11/19/15 01:10:00,2.05,94.40,1.24,0.2134,1,0.5,1.5,67,4.09
80,11/19/15 01:20:00,1.91,94.30,1.09,0.2134,1,0.3,2.0,67,4.09
81,11/19/15 01:30:00,2.13,94.40,1.32,0.2134,1,1.0,2.3,65,4.09
82,11/19/15 01:40:00,1.72,94.70,0.96,0.2134,1,0.5,1.5,65,4.09
83,11/19/15 01:50:00,1.43,95.10,0.73,0.2139,1,0.5,1.8,72,4.09
84,11/19/15 02:00:00,1.70,95.10,1.00,0.2134,1,0.8,2.3,84,4.07
85,11/19/15 02:10:00,2.07,94.40,1.27,0.2139,1,1.3,2.5,74,4.08
86,11/19/15 02:20:00,1.91,93.90,1.03,0.2143,1,0.3,1.5,76,4.08
87,11/19/15 02:30:00,1.51,95.20,0.82,0.2139,1,0.0,1.3,76,4.09
88,11/19/15 02:40:00,1.34,96.20,0.80,0.2143,1,0.0,0.8,76,4.09
89,11/19/15 02:50:00,1.21,96.50,0.71,0.2148,1,0.3,1.3,76,4.09
90,11/19/15 03:00:00,1.07,96.30,0.55,0.2143,1,0.3,1.0,76,4.07
91,11/19/15 03:10:00,0.66,96.00,0.09,0.2148,1,0.3,1.3,76,4.09
92,11/19/15 03:20:00,0.69,95.90,0.11,0.2153,1,0.8,1.8,74,4.09
93,11/19/15 03:30:00,0.69,95.70,0.08,0.2148,1,1.0,2.3,74,4.09
94,11/19/15 03:40:00,0.16,96.00,-0.40,0.2148,1,0.3,1.0,74,4.09
95,11/19/15 03:50:00,0.30,96.40,-0.21,0.2153,1,0.5,1.3,74,4.09
96,11/19/15 04:00:00,0.30,96.00,-0.27,0.2148,1,0.3,1.0,74,4.07
97,11/19/15 04:10:00,-0.09,96.30,-0.61,0.2153,1,0.3,1.0,74,4.08
98,11/19/15 04:20:00,-0.26,96.30,-0.78,0.2156,1,0.3,1.3,74,4.09
99,11/19/15 04:30:00,-0.56,96.40,-1.07,0.2153,1,0.0,1.0,74,4.09
100,11/19/15 04:40:00,-0.54,96.90,-0.97,0.2156,1,0.5,1.8,74,4.09
101,11/19/15 04:50:00,-0.42,96.50,-0.92,0.2161,1,0.8,1.8,74,4.11
102,11/19/15 05:00:00,-0.82,96.40,-1.32,0.2161,1,0.5,1.3,76,4.06
103,11/19/15 05:10:00,-1.13,96.70,-1.59,0.2156,1,0.5,1.3,74,4.08
104,11/19/15 05:20:00,-1.36,96.50,-1.85,0.2161,1,0.3,1.0,74,4.08
105,11/19/15 05:30:00,-1.30,96.70,-1.76,0.2156,1,0.3,1.0,74,4.08
106,11/19/15 05:40:00,-1.33,96.70,-1.79,0.2161,1,0.0,1.0,74,4.08
107,11/19/15 05:50:00,-1.58,96.70,-2.05,0.2164,1,0.0,0.8,74,4.09
108,11/19/15 06:00:00,-1.56,96.90,-1.99,0.2161,1,0.3,0.8,74,4.06
109,11/19/15 06:10:00,-1.58,97.10,-1.99,0.2164,1,0.0,0.8,74,4.08
110,11/19/15 06:20:00,-1.44,97.00,-1.86,0.2164,6,0.8,1.8,74,4.08
111,11/19/15 06:30:00,-1.64,96.50,-2.13,0.2161,16,0.5,1.5,74,4.08
112,11/19/15 06:40:00,-1.87,96.50,-2.36,0.2164,34,0.0,0.5,74,4.08
113,11/19/15 06:50:00,-1.53,96.90,-1.96,0.2169,74,0.0,1.0,74,4.08
114,11/19/15 07:00:00,-0.54,96.00,-1.10,0.2164,136,0.0,0.8,74,4.06
115,11/19/15 07:10:00,0.38,94.20,-0.44,0.2169,209,0.0,0.0,74,4.07
116,11/19/15 07:20:00,1.10,92.80,0.06,0.2169,266,0.0,0.5,74,4.07
117,11/19/15 07:30:00,1.97,91.60,0.74,0.2161,361,0.0,0.0,74,4.07
118,11/19/15 07:40:00,2.50,89.40,0.94,0.2164,426,0.0,0.8,74,4.07
119,11/19/15 07:50:00,4.40,85.80,2.24,0.2164,481,0.0,0.0,74,4.07
120,11/19/15 08:00:00,2.85,84.20,0.45,0.2161,549,0.0,1.0,74,4.06
121,11/19/15 08:10:00,3.22,85.10,0.96,0.2161,624,0.0,1.0,74,4.07
122,11/19/15 08:20:00,4.27,82.90,1.63,0.2161,706,0.0,0.5,76,4.07
123,11/19/15 08:30:00,4.43,81.40,1.53,0.2153,774,0.3,1.5,76,4.07
