Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Gyelpozhing"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364427
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4207
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,3/4/16 17:10:00,24.68,52.30,14.27,0.0,0.3,177,124,0.0,4.36
2,3/4/16 17:20:00,24.29,52.50,13.97,0.0,0.8,160,111,0.2,4.36
3,3/4/16 17:30:00,24.05,53.30,13.98,0.0,0.8,270,61,0.0,4.36
4,3/4/16 17:40:00,24.10,53.10,13.97,0.3,1.3,192,46,0.0,4.36
5,3/4/16 17:50:00,23.86,53.20,13.78,0.0,1.0,185,19,0.0,4.36
6,3/4/16 18:00:00,23.69,53.80,13.79,0.0,1.5,195,4,0.0,4.33
7,3/4/16 18:10:00,23.57,54.30,13.82,0.0,1.3,143,1,0.0,4.35
8,3/4/16 18:20:00,23.26,55.60,13.90,0.0,0.5,139,1,0.0,4.35
9,3/4/16 18:30:00,23.33,55.90,14.05,0.0,0.0,145,1,0.0,4.35
10,3/4/16 18:40:00,23.21,56.20,14.02,0.3,3.0,129,1,0.0,4.35
11,3/4/16 18:50:00,23.14,56.20,13.95,1.5,4.0,49,1,0.0,4.35
12,3/4/16 19:00:00,21.87,56.80,12.93,1.8,4.8,0,1,0.0,4.33
13,3/4/16 19:10:00,19.48,65.80,12.94,2.0,6.8,352,1,0.2,4.34
14,3/4/16 19:20:00,20.03,66.00,13.50,1.8,4.5,11,1,0.6,4.35
15,3/4/16 19:30:00,19.22,69.70,13.57,1.5,4.3,31,1,0.2,4.35
16,3/4/16 19:40:00,18.98,71.00,13.63,0.8,2.8,20,1,0.0,4.35
17,3/4/16 19:50:00,19.13,71.40,13.85,0.3,2.0,52,1,0.0,4.35
18,3/4/16 20:00:00,18.49,72.70,13.51,0.3,1.5,51,1,0.0,4.32
19,3/4/16 20:10:00,18.60,75.10,14.13,0.0,1.8,345,1,0.0,4.34
20,3/4/16 20:20:00,18.58,75.30,14.14,0.3,1.8,42,1,0.0,4.34
21,3/4/16 20:30:00,18.39,74.20,13.73,0.5,2.5,31,1,0.0,4.34
22,3/4/16 20:40:00,18.37,74.10,13.69,0.3,1.5,38,1,0.0,4.34
23,3/4/16 20:50:00,18.22,74.70,13.68,0.3,1.5,67,1,0.0,4.34
24,3/4/16 21:00:00,18.08,74.60,13.52,0.0,1.3,42,1,0.0,4.32
25,3/4/16 21:10:00,17.53,77.60,13.59,0.0,1.3,32,1,0.0,4.34
26,3/4/16 21:20:00,17.11,80.10,13.67,0.0,0.8,11,1,0.0,4.34
27,3/4/16 21:30:00,17.03,82.20,13.99,0.0,1.3,11,1,0.0,4.34
28,3/4/16 21:40:00,16.89,83.60,14.12,0.3,1.8,7,1,0.0,4.34
29,3/4/16 21:50:00,17.56,82.80,14.62,0.3,2.0,22,1,0.0,4.34
30,3/4/16 22:00:00,16.94,81.40,13.75,0.3,1.8,37,1,0.0,4.32
31,3/4/16 22:10:00,17.18,82.80,14.25,0.5,1.8,7,1,0.0,4.33
32,3/4/16 22:20:00,17.39,80.50,14.02,0.3,2.0,39,1,0.0,4.37
33,3/4/16 22:30:00,17.32,80.10,13.87,0.3,3.0,44,1,0.0,4.34
34,3/4/16 22:40:00,16.32,82.90,13.43,0.3,1.8,351,1,0.0,4.34
35,3/4/16 22:50:00,16.56,83.90,13.84,0.0,0.8,313,1,0.0,4.34
36,3/4/16 23:00:00,16.51,83.20,13.67,0.0,1.0,312,1,0.0,4.32
37,3/4/16 23:10:00,16.20,83.30,13.38,0.0,0.0,312,1,0.0,4.33
38,3/4/16 23:20:00,15.94,84.50,13.35,0.0,0.8,312,1,0.0,4.33
39,3/4/16 23:30:00,15.82,85.40,13.39,0.0,0.8,348,1,0.0,4.33
40,3/4/16 23:40:00,15.53,86.50,13.31,0.0,0.0,355,1,0.0,4.34
41,3/4/16 23:50:00,15.20,87.20,13.10,0.0,0.0,355,1,0.0,4.34
42,3/5/16 00:00:00,15.08,88.40,13.19,0.0,0.0,355,1,0.0,4.32
43,3/5/16 00:10:00,15.03,89.20,13.28,0.0,0.0,355,1,0.0,4.33
44,3/5/16 00:20:00,15.10,89.20,13.36,0.0,0.5,355,1,0.0,4.33
45,3/5/16 00:30:00,14.84,89.60,13.16,0.0,0.3,355,1,0.0,4.33
46,3/5/16 00:40:00,14.84,89.60,13.16,0.0,0.0,355,1,0.0,4.33
47,3/5/16 00:50:00,15.01,89.60,13.33,0.0,0.5,355,1,0.0,4.33
48,3/5/16 01:00:00,14.62,89.80,12.99,0.0,0.5,355,1,0.0,4.32
49,3/5/16 01:10:00,14.67,90.50,13.15,0.0,0.5,355,1,0.0,4.33
50,3/5/16 01:20:00,14.65,90.30,13.09,0.3,2.0,354,1,0.0,4.33
51,3/5/16 01:30:00,14.74,89.70,13.09,0.3,1.3,1,1,0.0,4.33
52,3/5/16 01:40:00,14.60,89.20,12.86,0.0,1.0,0,1,0.0,4.35
53,3/5/16 01:50:00,14.62,89.40,12.92,0.0,1.3,352,1,0.0,4.33
54,3/5/16 02:00:00,14.86,88.80,13.05,0.5,1.5,355,1,0.0,4.31
55,3/5/16 02:10:00,14.46,89.10,12.70,0.0,1.0,350,1,0.0,4.32
56,3/5/16 02:20:00,14.58,89.70,12.92,0.0,1.0,352,1,0.0,4.33
57,3/5/16 02:30:00,14.46,89.20,12.72,0.0,0.0,0,1,0.0,4.33
58,3/5/16 02:40:00,14.27,89.30,12.55,0.0,0.5,0,1,0.0,4.33
59,3/5/16 02:50:00,14.19,90.30,12.64,0.0,0.8,0,1,0.0,4.33
60,3/5/16 03:00:00,14.12,90.70,12.64,0.0,0.5,0,1,0.0,4.31
61,3/5/16 03:10:00,13.93,91.00,12.50,0.0,0.0,0,1,0.0,4.32
62,3/5/16 03:20:00,14.15,90.60,12.65,0.0,0.0,0,1,0.0,4.33
63,3/5/16 03:30:00,13.91,90.10,12.33,0.0,0.3,0,1,0.0,4.33
64,3/5/16 03:40:00,13.79,90.30,12.24,0.0,0.8,0,1,0.0,4.33
65,3/5/16 03:50:00,13.50,91.10,12.09,0.0,1.3,0,1,0.0,4.33
66,3/5/16 04:00:00,13.28,91.70,11.97,0.0,1.0,0,1,0.0,4.30
67,3/5/16 04:10:00,13.47,92.00,12.21,0.0,0.5,0,1,0.0,4.32
68,3/5/16 04:20:00,13.79,91.40,12.42,0.0,1.3,0,1,0.0,4.32
69,3/5/16 04:30:00,13.26,91.10,11.85,0.0,1.3,18,1,0.0,4.33
70,3/5/16 04:40:00,13.06,92.00,11.81,0.0,1.0,27,1,0.0,4.33
71,3/5/16 04:50:00,13.14,92.50,11.96,0.0,1.0,34,1,0.0,4.33
72,3/5/16 05:00:00,13.14,92.00,11.88,0.0,0.3,53,1,0.0,4.30
73,3/5/16 05:10:00,13.11,91.80,11.82,0.0,0.3,53,1,0.0,4.32
74,3/5/16 05:20:00,13.18,91.70,11.88,0.0,0.3,53,1,0.0,4.32
75,3/5/16 05:30:00,13.43,91.00,12.00,0.0,0.5,53,1,0.0,4.32
76,3/5/16 05:40:00,13.21,90.90,11.77,0.0,0.3,53,1,0.0,4.33
77,3/5/16 05:50:00,12.94,91.00,11.52,0.0,0.8,53,1,0.0,4.33
78,3/5/16 06:00:00,12.70,91.90,11.43,0.0,0.8,53,1,0.0,4.30
79,3/5/16 06:10:00,12.56,92.80,11.44,0.0,0.3,53,1,0.0,4.32
80,3/5/16 06:20:00,12.63,92.90,11.53,0.0,0.8,53,6,0.0,4.32
81,3/5/16 06:30:00,12.36,93.10,11.29,0.0,0.3,53,19,0.0,4.32
82,3/5/16 06:40:00,12.36,93.60,11.38,0.0,1.3,44,36,0.0,4.32
83,3/5/16 06:50:00,12.36,94.00,11.44,0.0,0.5,39,59,0.0,4.32
84,3/5/16 07:00:00,12.51,93.90,11.57,0.0,0.8,39,79,0.0,4.30
85,3/5/16 07:10:00,12.63,93.90,11.69,0.0,0.8,39,101,0.0,4.32
86,3/5/16 07:20:00,12.68,93.50,11.67,0.0,0.8,39,126,0.0,4.32
87,3/5/16 07:30:00,12.80,93.50,11.79,0.0,0.8,38,149,0.0,4.32
88,3/5/16 07:40:00,13.11,93.20,12.05,0.0,0.3,37,171,0.0,4.32
89,3/5/16 07:50:00,13.35,92.30,12.15,0.0,1.0,37,191,0.0,4.32
90,3/5/16 08:00:00,13.71,91.10,12.30,0.3,1.0,44,214,0.0,4.31
91,3/5/16 08:10:00,15.01,89.50,13.31,0.0,0.5,49,434,0.0,4.32
92,3/5/16 08:20:00,16.65,86.20,14.36,0.0,0.0,49,579,0.0,4.32
93,3/5/16 08:30:00,16.51,83.20,13.67,0.0,1.0,49,654,0.0,4.32
94,3/5/16 08:40:00,16.89,82.30,13.87,0.3,1.0,49,731,0.0,4.32
95,3/5/16 08:50:00,17.75,77.80,13.84,0.0,0.8,49,806,0.0,4.32
96,3/5/16 09:00:00,19.96,74.90,15.40,0.0,0.3,49,874,0.0,4.30
97,3/5/16 09:10:00,19.39,70.40,13.88,0.0,0.8,41,946,0.0,4.32
98,3/5/16 09:20:00,19.77,70.30,14.23,0.0,1.0,307,1009,0.0,4.32
99,3/5/16 09:30:00,21.10,67.70,14.92,0.0,0.3,306,1076,0.0,4.32
100,3/5/16 09:40:00,21.89,64.30,14.87,0.0,0.5,306,1139,0.0,4.32
101,3/5/16 09:50:00,21.91,61.20,14.12,0.0,0.5,306,1196,0.0,4.32
102,3/5/16 10:00:00,22.27,58.20,13.69,0.5,1.3,306,1244,0.0,4.30
103,3/5/16 10:10:00,22.13,56.10,12.99,0.5,1.3,306,1289,0.0,4.31
104,3/5/16 10:20:00,22.94,54.50,13.30,0.8,1.5,306,1334,0.0,4.32
105,3/5/16 10:30:00,24.32,51.70,13.76,0.3,1.0,306,1381,0.0,4.32
106,3/5/16 10:40:00,24.97,49.40,13.66,0.3,1.5,288,1429,0.0,4.32
107,3/5/16 10:50:00,25.74,47.40,13.73,0.3,2.3,267,1456,0.0,4.32
108,3/5/16 11:00:00,27.11,45.00,14.17,0.3,1.8,190,1476,0.0,4.30
109,3/5/16 11:10:00,27.16,43.40,13.66,0.3,1.5,254,1506,0.0,4.31
110,3/5/16 11:20:00,27.92,41.20,13.55,0.3,1.8,230,1539,0.0,4.35
111,3/5/16 11:30:00,28.47,39.80,13.50,0.3,1.8,248,1564,0.0,4.32
112,3/5/16 11:40:00,29.21,38.50,13.65,0.5,1.8,256,1574,0.0,4.31
113,3/5/16 11:50:00,29.51,37.10,13.35,0.5,2.5,251,1586,0.0,4.31
114,3/5/16 12:00:00,30.82,34.70,13.47,0.5,3.0,265,1584,0.0,4.30
115,3/5/16 12:10:00,31.48,33.80,13.65,0.5,2.5,211,1589,0.0,4.31
116,3/5/16 12:20:00,31.28,33.10,13.15,0.5,2.8,205,1579,0.0,4.31
117,3/5/16 12:30:00,31.61,32.70,13.25,0.5,3.0,268,1566,0.0,4.31
118,3/5/16 12:40:00,31.84,33.20,13.68,0.8,4.0,248,1534,0.0,4.37
119,3/5/16 12:50:00,32.10,32.20,13.44,0.5,2.8,220,1529,0.0,4.30
120,3/5/16 13:00:00,31.82,32.60,13.38,0.8,4.0,258,1479,0.0,4.30
121,3/5/16 13:10:00,31.59,32.30,13.04,0.8,3.3,187,1424,0.0,4.30
122,3/5/16 13:20:00,31.64,32.40,13.13,0.8,3.3,204,1409,0.0,4.30
123,3/5/16 13:30:00,32.48,32.40,13.87,0.5,4.0,220,1379,0.0,4.30
124,3/5/16 13:40:00,32.85,31.40,13.70,0.5,3.0,208,1339,0.0,4.30
125,3/5/16 13:50:00,32.23,31.90,13.40,0.8,3.0,232,1311,0.0,4.30
126,3/5/16 14:00:00,32.66,31.60,13.64,0.5,2.3,225,1281,0.0,4.30
