Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "PMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364428
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4208
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,2/4/16 15:46:09,21.15,67.90,15.01,0.0,0.0,234,41,0.0,4.22
2,2/4/16 15:56:09,20.91,68.30,14.87,0.0,0.0,237,31,0.0,4.20
3,2/4/16 16:06:09,20.65,69.30,14.85,0.0,0.0,239,29,0.0,4.20
4,2/4/16 16:16:09,20.39,70.90,14.95,0.0,0.0,239,29,0.0,4.20
5,2/4/16 16:26:09,20.22,72.00,15.03,0.0,0.0,239,31,0.0,4.20
6,2/4/16 16:36:09,20.13,72.80,15.11,0.0,0.0,239,26,0.0,4.20
7,2/4/16 16:46:09,20.01,73.10,15.06,0.0,0.0,239,21,0.0,4.20
8,2/4/16 16:56:09,19.84,74.10,15.11,0.0,0.0,239,16,0.0,4.20
9,2/4/16 17:06:09,19.65,74.90,15.10,0.0,0.0,239,11,0.0,4.24
10,2/4/16 17:16:09,19.41,75.90,15.07,0.0,1.3,211,9,0.0,4.21
11,2/4/16 17:26:09,19.27,76.80,15.12,0.0,0.0,104,6,0.0,4.21
12,2/4/16 17:36:09,19.17,77.30,15.13,0.0,0.0,104,1,0.0,4.20
13,2/4/16 17:46:09,18.89,78.20,15.03,0.0,0.0,104,1,0.0,4.20
14,2/4/16 17:56:09,18.63,79.00,14.93,0.0,0.0,104,1,0.0,4.20
15,2/4/16 18:06:09,18.70,80.00,15.20,0.0,0.0,135,1,0.0,4.21
16,2/4/16 18:16:09,18.44,80.00,14.94,0.0,0.0,201,1,0.0,4.21
17,2/4/16 18:26:09,18.25,80.40,14.84,0.0,0.0,201,1,0.0,4.21
18,2/4/16 18:36:09,18.01,81.20,14.76,0.0,0.0,201,1,0.0,4.21
19,2/4/16 18:46:09,17.96,81.90,14.85,0.0,0.0,201,1,0.0,4.21
20,2/4/16 18:56:09,17.87,81.90,14.75,0.0,0.0,201,1,0.0,4.21
21,2/4/16 19:06:09,17.63,82.30,14.60,0.0,0.0,201,1,0.0,4.21
22,2/4/16 19:16:09,17.56,82.80,14.62,0.0,0.0,201,1,0.0,4.21
23,2/4/16 19:26:09,17.34,83.30,14.50,0.0,0.0,201,1,0.0,4.21
24,2/4/16 19:36:09,17.30,84.00,14.59,0.0,0.0,201,1,0.0,4.20
25,2/4/16 19:46:09,17.39,84.00,14.68,0.0,0.0,201,1,0.0,4.20
26,2/4/16 19:56:09,17.13,83.30,14.29,0.0,0.0,201,1,0.0,4.21
27,2/4/16 20:06:09,16.70,83.80,13.97,0.0,0.0,201,1,0.0,4.21
28,2/4/16 20:16:09,16.34,84.80,13.80,0.0,0.0,201,1,0.0,4.21
29,2/4/16 20:26:09,16.22,85.60,13.83,0.0,0.0,201,1,0.0,4.21
30,2/4/16 20:36:09,15.91,85.70,13.54,0.0,0.0,201,1,0.0,4.21
31,2/4/16 20:46:09,15.56,85.90,13.22,0.0,0.0,201,1,0.0,4.21
32,2/4/16 20:56:09,16.27,86.60,14.05,0.0,0.8,191,1,0.0,4.21
33,2/4/16 21:06:09,16.03,86.50,13.80,0.0,0.0,143,1,0.0,4.21
34,2/4/16 21:16:09,15.87,86.70,13.67,0.0,0.0,143,1,0.0,4.21
35,2/4/16 21:26:09,15.49,86.70,13.30,0.0,0.0,143,1,0.0,4.21
36,2/4/16 21:36:09,15.17,87.40,13.11,0.0,0.0,143,1,0.0,4.20
37,2/4/16 21:46:09,15.25,87.50,13.20,0.0,1.3,126,1,0.0,4.20
38,2/4/16 21:56:09,14.84,87.70,12.84,0.0,0.0,122,1,0.0,4.21
39,2/4/16 22:06:09,15.10,88.60,13.25,0.0,0.0,122,1,0.0,4.21
40,2/4/16 22:16:09,15.03,88.60,13.18,0.0,0.0,122,1,0.0,4.21
41,2/4/16 22:26:09,14.84,88.80,13.03,0.0,0.0,122,1,0.0,4.21
42,2/4/16 22:36:09,14.72,89.30,12.99,0.0,0.0,122,1,0.0,4.21
43,2/4/16 22:46:09,14.65,89.60,12.97,0.0,0.0,122,1,0.0,4.21
44,2/4/16 22:56:09,14.53,89.80,12.89,0.0,0.0,122,1,0.0,4.21
45,2/4/16 23:06:09,14.74,90.00,13.14,0.0,0.0,122,1,0.0,4.21
46,2/4/16 23:16:09,14.98,90.20,13.41,0.0,0.0,122,1,0.0,4.21
47,2/4/16 23:26:09,14.94,89.70,13.28,0.0,0.0,122,1,0.0,4.21
48,2/4/16 23:36:09,14.36,89.60,12.69,0.0,0.0,122,1,0.0,4.20
49,2/4/16 23:46:09,14.60,90.40,13.06,0.0,0.0,122,1,0.0,4.20
50,2/4/16 23:56:09,14.31,90.40,12.78,0.0,0.0,122,1,0.0,4.20
51,2/5/16 00:06:09,14.39,90.60,12.88,0.0,0.0,122,1,0.0,4.20
52,2/5/16 00:16:09,14.24,90.80,12.78,0.0,0.0,122,1,0.0,4.20
53,2/5/16 00:26:09,14.15,91.40,12.78,0.0,0.0,122,1,0.0,4.21
54,2/5/16 00:36:09,14.24,91.30,12.86,0.0,0.0,122,1,0.0,4.21
55,2/5/16 00:46:09,13.81,91.10,12.40,0.0,0.0,122,1,0.0,4.21
56,2/5/16 00:56:09,13.83,91.50,12.49,0.0,0.0,122,1,0.0,4.21
57,2/5/16 01:06:09,13.86,91.60,12.53,0.0,0.0,122,1,0.0,4.21
58,2/5/16 01:16:09,14.03,91.70,12.71,0.0,0.0,122,1,0.0,4.21
59,2/5/16 01:26:09,13.91,91.70,12.59,0.0,0.0,122,1,0.0,4.19
60,2/5/16 01:36:09,13.83,91.80,12.54,0.0,0.5,122,1,0.0,4.20
61,2/5/16 01:46:09,13.79,92.10,12.54,0.0,0.8,121,1,0.0,4.20
62,2/5/16 01:56:09,13.62,92.20,12.39,0.0,0.0,124,1,0.0,4.20
63,2/5/16 02:06:09,13.64,92.60,12.48,0.0,0.0,124,1,0.0,4.20
64,2/5/16 02:16:09,13.55,92.70,12.40,0.0,0.0,124,1,0.0,4.22
65,2/5/16 02:26:09,13.26,92.70,12.12,0.0,0.0,124,1,0.0,4.20
66,2/5/16 02:36:09,13.11,93.00,12.02,0.0,0.0,124,1,0.0,4.21
67,2/5/16 02:46:09,13.33,93.50,12.32,0.0,0.0,124,1,0.0,4.21
68,2/5/16 02:56:09,13.31,93.40,12.28,0.0,0.0,124,1,0.0,4.21
69,2/5/16 03:06:09,13.31,93.40,12.28,0.0,0.0,124,1,0.0,4.21
70,2/5/16 03:16:09,13.16,93.30,12.12,0.0,0.0,124,1,0.0,4.21
71,2/5/16 03:26:09,13.11,93.30,12.07,0.0,0.0,124,1,0.0,4.20
72,2/5/16 03:36:09,12.92,93.50,11.91,0.0,0.0,124,1,0.0,4.20
73,2/5/16 03:46:09,13.11,93.70,12.14,0.0,0.0,124,1,0.0,4.20
74,2/5/16 03:56:09,13.06,93.60,12.07,0.0,0.0,124,1,0.0,4.20
75,2/5/16 04:06:09,13.31,93.70,12.33,0.0,0.0,124,1,0.0,4.20
76,2/5/16 04:16:09,13.09,93.60,12.09,0.0,0.0,124,1,0.0,4.20
77,2/5/16 04:26:09,13.04,93.70,12.06,0.0,0.0,124,1,0.0,4.21
78,2/5/16 04:36:09,12.73,93.70,11.75,0.0,0.0,124,1,0.0,4.21
79,2/5/16 04:46:09,13.11,93.90,12.17,0.0,0.0,122,1,0.0,4.21
80,2/5/16 04:56:09,13.06,93.90,12.12,0.0,0.0,122,1,0.0,4.20
81,2/5/16 05:06:09,13.02,93.80,12.06,0.0,0.0,122,1,0.0,4.21
82,2/5/16 05:16:09,12.70,93.80,11.74,0.0,0.0,122,1,0.0,4.20
83,2/5/16 05:26:09,12.73,94.10,11.82,0.0,0.0,122,1,0.0,4.20
84,2/5/16 05:36:09,12.92,94.50,12.07,0.0,0.0,122,1,0.0,4.20
85,2/5/16 05:46:09,12.92,94.60,12.09,0.0,0.0,122,1,0.0,4.20
86,2/5/16 05:56:09,12.75,94.70,11.94,0.0,0.0,122,1,0.0,4.20
87,2/5/16 06:06:09,12.75,94.80,11.95,0.0,0.0,122,1,0.0,4.20
88,2/5/16 06:16:09,12.75,94.80,11.95,0.0,0.0,122,1,0.0,4.20
89,2/5/16 06:26:09,12.90,94.90,12.11,0.0,0.0,122,1,0.0,4.20
90,2/5/16 06:36:09,12.65,94.70,11.84,0.0,0.0,122,1,0.0,4.20
91,2/5/16 06:46:09,12.77,94.90,11.99,0.0,0.0,122,6,0.0,4.20
92,2/5/16 06:56:09,12.73,94.80,11.93,0.0,0.0,122,16,0.0,4.21
93,2/5/16 07:06:09,12.87,94.90,12.09,0.0,0.0,122,34,0.0,4.21
94,2/5/16 07:16:09,13.18,94.80,12.38,0.0,0.0,122,56,0.0,4.21
95,2/5/16 07:26:09,13.71,94.70,12.89,0.0,0.0,122,84,0.0,4.20
96,2/5/16 07:36:09,14.00,94.30,13.12,0.0,0.0,122,116,0.0,4.20
97,2/5/16 07:46:09,14.96,93.40,13.92,0.0,0.0,122,159,0.0,4.20
98,2/5/16 07:56:09,15.80,91.60,14.45,0.0,0.0,122,204,0.0,4.20
99,2/5/16 08:06:09,16.51,90.00,14.88,0.0,0.0,122,249,0.0,4.20
100,2/5/16 08:16:09,17.20,88.40,15.29,0.0,0.0,122,296,0.0,4.20
101,2/5/16 08:26:09,18.20,86.20,15.88,0.0,0.0,122,334,0.0,4.20
102,2/5/16 08:36:09,18.58,82.50,15.56,0.0,0.0,122,369,0.0,4.20
103,2/5/16 08:46:09,18.91,80.10,15.43,0.0,0.0,122,411,0.0,4.20
104,2/5/16 08:56:09,19.67,77.50,15.65,0.0,0.0,124,464,0.0,4.20
105,2/5/16 09:06:09,20.17,73.90,15.39,0.0,0.3,124,514,0.0,4.20
106,2/5/16 09:16:09,20.51,71.20,15.13,0.0,0.8,122,561,0.0,4.20
107,2/5/16 09:26:09,21.15,69.70,15.42,0.0,0.5,124,614,0.0,4.20
108,2/5/16 09:36:09,21.06,67.40,14.80,0.0,1.0,213,661,0.0,4.20
109,2/5/16 09:46:09,21.99,65.90,15.34,0.0,0.0,233,706,0.0,4.20
110,2/5/16 09:56:09,21.51,63.70,14.36,0.0,1.5,309,764,0.0,4.22
111,2/5/16 10:06:09,22.15,64.20,15.09,0.0,0.5,236,811,0.0,4.20
112,2/5/16 10:16:09,22.25,62.00,14.64,0.3,2.0,265,849,0.0,4.20
113,2/5/16 10:26:09,22.39,61.10,14.55,0.3,1.8,347,884,0.0,4.20
114,2/5/16 10:36:09,22.99,61.80,15.29,0.0,2.0,277,911,0.0,4.20
115,2/5/16 10:46:09,22.51,60.90,14.61,0.3,2.3,329,944,0.0,4.20
116,2/5/16 10:56:09,23.23,60.20,15.11,0.3,3.0,341,964,0.0,4.20
117,2/5/16 11:06:09,23.45,60.10,15.29,0.5,2.3,329,979,0.0,4.20
118,2/5/16 11:16:09,23.54,58.80,15.04,0.3,2.3,310,1006,0.0,4.18
119,2/5/16 11:26:09,23.35,58.60,14.80,0.5,2.8,306,1004,0.0,4.20
120,2/5/16 11:36:09,23.09,58.40,14.50,0.8,2.8,310,1019,0.0,4.20
121,2/5/16 11:46:09,23.64,58.50,15.05,0.5,3.3,314,1049,0.0,4.20
122,2/5/16 11:56:09,23.59,56.20,14.38,0.8,2.8,0,1056,0.0,4.20
123,2/5/16 12:06:09,24.17,56.00,14.86,0.8,3.5,8,846,0.0,4.20
124,2/5/16 12:16:09,24.07,55.60,14.66,1.0,3.0,348,801,0.0,4.20
125,2/5/16 12:26:09,23.45,55.90,14.16,0.8,3.3,7,1059,0.0,4.20
126,2/5/16 12:36:09,24.03,56.60,14.89,1.0,3.5,3,1034,0.0,4.20
127,2/5/16 12:46:09,23.95,56.50,14.80,0.5,3.0,348,1026,0.0,4.20
