Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "PMSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364428
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4208
Series Info: 
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","PAR, uE","Rain, mm","Batt, V"
1,5/6/15 09:00:00,27.87,68.90,21.66,1.0,2.5,344,1201,0.0,4.28
2,5/6/15 09:10:00,27.75,70.20,21.85,1.0,3.3,340,1194,0.0,4.29
3,5/6/15 09:20:00,27.85,71.70,22.29,0.8,2.3,336,1226,0.0,4.29
4,5/6/15 09:30:00,28.05,71.20,22.37,1.0,3.5,337,1286,0.0,4.29
5,5/6/15 09:40:00,27.95,69.40,21.85,0.8,2.8,313,1331,0.0,4.29
6,5/6/15 09:50:00,28.20,69.70,22.16,0.5,2.5,345,1374,0.0,4.29
7,5/6/15 10:00:00,28.67,67.80,22.15,0.5,2.3,354,1451,0.0,4.28
8,5/6/15 10:10:00,28.62,65.70,21.59,0.8,2.3,341,1486,0.0,4.29
9,5/6/15 10:20:00,29.77,64.80,22.45,0.5,2.0,34,1504,0.0,4.29
10,5/6/15 10:30:00,29.56,64.20,22.11,0.5,2.3,326,1534,0.0,4.29
11,5/6/15 10:40:00,29.21,65.10,22.01,0.5,2.3,333,1536,0.0,4.29
12,5/6/15 10:50:00,29.14,66.10,22.19,0.5,2.8,313,1559,0.0,4.29
13,5/6/15 11:00:00,29.11,66.30,22.21,1.0,3.3,343,1581,0.0,4.29
14,5/6/15 11:10:00,29.49,67.20,22.79,1.0,3.3,348,1591,0.0,4.29
15,5/6/15 11:20:00,29.56,67.50,22.94,1.3,3.0,0,1599,0.0,4.29
16,5/6/15 11:30:00,29.46,67.40,22.82,1.3,3.0,326,1534,0.0,4.29
17,5/6/15 11:40:00,29.29,68.10,22.82,1.5,4.3,4,1329,0.0,4.29
18,5/6/15 11:50:00,30.19,66.10,23.19,1.0,3.0,347,1661,0.0,4.30
19,5/6/15 12:00:00,30.32,64.60,22.93,1.0,3.0,352,1729,0.0,4.29
20,5/6/15 12:10:00,29.94,64.60,22.57,1.3,3.3,355,1491,0.0,4.29
21,5/6/15 12:20:00,30.19,63.40,22.50,1.0,3.3,20,1334,0.0,4.29
22,5/6/15 12:30:00,29.92,64.80,22.59,1.0,2.5,338,1179,0.0,4.29
23,5/6/15 12:40:00,30.49,65.30,23.27,1.0,3.8,337,1676,0.0,4.29
24,5/6/15 12:50:00,30.52,63.00,22.70,0.8,2.5,348,1694,0.0,4.28
25,5/6/15 13:00:00,30.92,61.90,22.79,0.8,3.3,20,1469,0.0,4.29
26,5/6/15 13:10:00,30.47,63.00,22.65,1.0,2.5,350,1324,0.0,4.29
27,5/6/15 13:20:00,30.87,61.10,22.53,0.8,2.5,24,1401,0.0,4.29
28,5/6/15 13:30:00,30.82,60.50,22.32,0.8,2.3,15,1371,0.0,4.29
29,5/6/15 13:40:00,31.26,61.00,22.86,0.8,2.3,341,1374,0.0,4.29
30,5/6/15 13:50:00,31.10,61.10,22.74,1.0,2.8,1,1286,0.0,4.28
31,5/6/15 14:00:00,31.59,59.60,22.79,0.8,2.8,25,1394,0.0,4.29
32,5/6/15 14:10:00,30.65,60.30,22.10,0.5,2.5,41,801,0.0,4.29
33,5/6/15 14:20:00,30.22,61.20,21.94,0.3,2.8,24,749,0.0,4.29
34,5/6/15 14:30:00,29.99,61.00,21.67,0.5,2.0,324,531,0.0,4.29
35,5/6/15 14:40:00,31.10,60.50,22.58,0.3,1.5,352,971,0.0,4.29
36,5/6/15 14:50:00,30.85,59.20,21.99,1.0,2.8,6,1059,0.0,4.29
37,5/6/15 15:00:00,30.32,62.80,22.46,0.8,2.3,355,811,0.0,4.29
38,5/6/15 15:10:00,29.74,64.10,22.25,0.8,2.0,14,546,0.0,4.29
39,5/6/15 15:20:00,30.22,65.30,23.01,0.0,1.3,355,641,0.0,4.29
40,5/6/15 15:30:00,29.59,64.90,22.31,0.0,1.0,17,459,0.0,4.35
41,5/6/15 15:40:00,29.99,67.20,23.27,0.0,0.5,114,506,0.0,4.29
42,5/6/15 15:50:00,30.49,64.90,23.17,0.3,1.3,55,694,0.0,4.29
43,5/6/15 16:00:00,30.12,64.00,22.58,0.0,1.3,49,561,0.0,4.29
44,5/6/15 16:10:00,30.09,65.00,22.81,0.0,1.3,49,554,0.0,4.29
45,5/6/15 16:20:00,30.12,65.20,22.89,0.0,1.5,80,434,0.0,4.29
46,5/6/15 16:30:00,29.74,65.20,22.53,0.0,1.0,70,414,0.0,4.29
47,5/6/15 16:40:00,29.24,67.50,22.63,0.0,0.5,70,276,0.0,4.29
48,5/6/15 16:50:00,28.72,70.80,22.92,0.0,0.0,72,204,0.0,4.29
49,5/6/15 17:00:00,28.67,72.80,23.33,0.0,0.0,72,214,0.0,4.29
50,5/6/15 17:10:00,28.79,72.80,23.45,0.0,0.0,72,204,0.0,4.29
51,5/6/15 17:20:00,28.49,72.60,23.12,0.0,0.0,72,151,0.0,4.29
52,5/6/15 17:30:00,28.32,73.50,23.15,0.0,0.0,72,149,0.0,4.29
53,5/6/15 17:40:00,27.92,76.20,23.37,0.0,0.0,72,111,0.0,4.29
54,5/6/15 17:50:00,27.65,76.30,23.13,0.0,0.0,72,89,0.0,4.29
55,5/6/15 18:00:00,27.36,77.00,23.00,0.0,0.0,72,66,0.0,4.29
56,5/6/15 18:10:00,26.77,80.70,23.20,0.0,0.0,72,44,0.0,4.29
57,5/6/15 18:20:00,26.38,81.50,22.98,0.0,0.0,72,24,0.0,4.29
58,5/6/15 18:30:00,25.96,81.90,22.66,0.0,0.0,72,9,0.0,4.29
59,5/6/15 18:40:00,25.74,82.20,22.51,0.0,0.0,72,1,0.0,4.29
60,5/6/15 18:50:00,25.57,82.90,22.48,0.0,0.0,72,1,0.0,4.29
61,5/6/15 19:00:00,25.50,83.20,22.47,0.0,0.3,72,1,0.0,4.29
62,5/6/15 19:10:00,25.26,84.50,22.49,0.0,0.0,72,1,0.0,4.29
63,5/6/15 19:20:00,25.09,85.10,22.44,0.0,0.0,70,1,0.0,4.29
64,5/6/15 19:30:00,24.85,86.10,22.39,0.0,0.0,70,1,0.0,4.29
65,5/6/15 19:40:00,25.11,85.30,22.50,0.0,0.8,77,1,0.0,4.29
66,5/6/15 19:50:00,25.02,84.80,22.31,0.0,1.3,180,1,0.0,4.29
67,5/6/15 20:00:00,24.87,85.90,22.38,0.0,0.5,174,1,0.0,4.29
68,5/6/15 20:10:00,24.90,85.90,22.40,0.0,0.3,174,1,0.0,4.29
69,5/6/15 20:20:00,24.77,86.70,22.43,0.0,0.0,174,1,0.0,4.29
70,5/6/15 20:30:00,24.34,88.60,22.36,0.0,0.0,174,1,0.0,4.29
71,5/6/15 20:40:00,24.27,88.90,22.35,0.0,0.3,174,1,0.0,4.29
72,5/6/15 20:50:00,24.27,87.90,22.16,0.0,0.0,174,1,0.0,4.29
73,5/6/15 21:00:00,24.24,88.20,22.19,0.0,0.0,174,1,0.0,4.29
74,5/6/15 21:10:00,23.95,89.00,22.06,0.0,0.0,174,1,0.0,4.29
75,5/6/15 21:20:00,23.93,89.30,22.09,0.0,0.0,174,1,0.0,4.29
76,5/6/15 21:30:00,23.66,89.10,21.79,0.0,0.0,174,1,0.0,4.29
77,5/6/15 21:40:00,23.91,88.90,21.99,0.0,0.3,174,1,0.0,4.29
78,5/6/15 21:50:00,23.74,87.60,21.58,0.0,0.0,174,1,0.0,4.29
79,5/6/15 22:00:00,23.33,88.00,21.26,0.0,0.0,174,1,0.0,4.29
80,5/6/15 22:10:00,23.42,88.80,21.50,0.0,0.0,174,1,0.0,4.27
81,5/6/15 22:20:00,23.45,88.50,21.47,0.0,0.0,174,1,0.0,4.29
82,5/6/15 22:30:00,23.45,87.40,21.26,0.0,0.0,174,1,0.0,4.29
83,5/6/15 22:40:00,23.64,86.50,21.28,0.0,0.0,174,1,0.0,4.29
84,5/6/15 22:50:00,23.64,85.60,21.11,0.0,0.3,174,1,0.0,4.29
85,5/6/15 23:00:00,23.57,86.10,21.14,0.0,0.3,174,1,0.0,4.29
86,5/6/15 23:10:00,23.38,86.30,20.98,0.0,0.0,174,1,0.0,4.30
87,5/6/15 23:20:00,24.10,85.60,21.56,0.0,1.3,171,1,0.0,4.29
88,5/6/15 23:30:00,24.10,82.50,20.96,0.0,0.8,159,1,0.0,4.29
89,5/6/15 23:40:00,23.95,83.40,20.99,0.0,1.3,154,1,0.0,4.29
90,5/6/15 23:50:00,23.42,84.70,20.73,0.0,0.0,146,1,0.0,4.29
91,5/7/15 00:00:00,23.57,85.40,21.00,0.0,0.3,146,1,0.0,4.29
92,5/7/15 00:10:00,24.12,83.10,21.10,0.0,1.8,177,1,0.0,4.28
93,5/7/15 00:20:00,24.48,80.90,21.02,0.0,1.3,197,1,0.0,4.29
94,5/7/15 00:30:00,24.29,80.10,20.67,0.0,2.0,215,1,0.0,4.29
95,5/7/15 00:40:00,24.48,78.50,20.53,0.3,1.8,216,1,0.0,4.29
96,5/7/15 00:50:00,24.65,77.40,20.46,0.5,2.3,213,1,0.0,4.29
97,5/7/15 01:00:00,24.39,77.20,20.16,0.3,1.8,202,1,0.0,4.29
98,5/7/15 01:10:00,23.71,78.90,19.86,0.0,0.8,152,1,0.0,4.29
99,5/7/15 01:20:00,23.16,82.00,19.94,0.0,0.0,128,1,0.0,4.29
100,5/7/15 01:30:00,23.02,83.80,20.15,0.0,0.0,128,1,0.0,4.29
101,5/7/15 01:40:00,22.78,85.70,20.28,0.0,0.0,128,1,0.0,4.29
102,5/7/15 01:50:00,22.47,87.60,20.33,0.0,0.0,128,1,0.0,4.29
103,5/7/15 02:00:00,22.66,87.50,20.50,0.0,0.0,128,1,0.0,4.29
104,5/7/15 02:10:00,22.82,86.60,20.50,0.0,0.0,128,1,0.0,4.28
105,5/7/15 02:20:00,23.79,84.50,21.04,0.0,1.3,133,1,0.0,4.29
106,5/7/15 02:30:00,24.87,78.10,20.82,0.8,3.5,11,1,0.0,4.29
107,5/7/15 02:40:00,25.23,72.90,20.05,0.8,3.5,289,1,0.0,4.29
108,5/7/15 02:50:00,24.27,76.70,19.94,0.3,1.5,140,1,0.0,4.29
109,5/7/15 03:00:00,24.07,80.40,20.52,0.0,1.0,226,1,0.0,4.29
110,5/7/15 03:10:00,23.98,80.00,20.34,0.0,0.8,225,1,0.0,4.29
111,5/7/15 03:20:00,24.19,77.00,19.93,0.5,2.0,229,1,0.0,4.29
112,5/7/15 03:30:00,23.93,78.20,19.92,0.0,1.3,202,1,0.0,4.29
113,5/7/15 03:40:00,24.17,75.50,19.59,0.5,2.3,177,1,0.6,4.29
114,5/7/15 03:50:00,23.11,81.60,19.82,0.0,1.3,121,1,0.0,4.29
115,5/7/15 04:00:00,23.38,81.70,20.09,0.3,1.5,93,1,0.0,4.29
116,5/7/15 04:10:00,23.30,81.90,20.06,0.3,1.8,4,1,0.0,4.28
117,5/7/15 04:20:00,23.35,82.40,20.21,0.3,1.5,316,1,0.0,4.29
118,5/7/15 04:30:00,23.11,82.50,19.99,0.0,1.3,258,1,0.0,4.29
119,5/7/15 04:40:00,23.16,82.50,20.04,0.0,1.3,313,1,0.0,4.29
120,5/7/15 04:50:00,22.80,85.70,20.31,0.0,0.3,352,1,0.0,4.29
121,5/7/15 05:00:00,22.82,85.90,20.37,0.5,2.0,17,1,0.0,4.29
122,5/7/15 05:10:00,22.82,86.00,20.39,0.0,1.5,70,1,0.0,4.29
123,5/7/15 05:20:00,22.68,86.40,20.32,0.0,0.0,117,1,0.0,4.29
124,5/7/15 05:30:00,22.78,86.60,20.45,0.0,0.5,140,1,0.0,4.29
125,5/7/15 05:40:00,22.87,86.30,20.49,0.0,0.8,164,1,0.0,4.29
126,5/7/15 05:50:00,22.92,84.40,20.17,0.0,0.8,44,6,0.0,4.29
