EventID,dt,odba,groundspeed,pressuredelta,vvelocity,uvelocity,altitude,temperature,humidity,state,acc_x_mean,acc_x_std,acc_y_mean,acc_y_std,acc_z_mean,acc_z_std
503541636.0,2015-01-01 19:50:06,9.923202035,0.73,0.288073519,-1.804721351,-1.813146304,29.0795123,21.9563972,62.3007018,Rest,0.124391456104,0.109009785443,-0.729608304659,0.0362510019447,0.852558399213,0.0367300525889
503541656.0,2015-01-01 21:30:07,79.67545182,0.32,0.288008232,-1.708607979,-2.169271888,32.6024597,20.73567,65.9604405,Others,0.0805114329425,1.65601701146,-0.770409615919,0.252797355563,1.27925901772,0.225340433085
503541658.0,2015-01-01 21:40:07,10.02921192,0.57,0.288187678,-1.699306875,-2.214837422,41.2687196,20.5614412,66.30661191,Rest,0.242434898695,0.111683751363,-0.798526581077,0.0393101030499,1.25777835518,0.0318433889709
503541664.0,2015-01-01 22:10:11,10.9641289,0.6,0.288306321,-1.670449733,-2.32369572,44.6267016,20.1829016,67.40675789,Rest,0.382109338619,0.101107648518,-0.793452842935,0.0450328996722,1.20662525203,0.0367773883457
503541682.0,2015-01-01 23:40:06,26.20135844,0.84,0.287879737,-1.583332386,-2.620119743,30.2561332,19.2058511,70.73741827,Rest,-0.518358178943,0.319701188435,-0.795355494832,0.0794365393266,1.88417631947,0.14214710142
503541702.0,2015-01-02 05:20:07,13.32679605,0.12,0.11939794,-0.778434903,-2.633007349,36.4499472,19.3329782,84.73552089,Rest,0.0508460651711,0.170553470879,-0.727917058612,0.0508060418248,0.847461292848,0.0483331190917
503541706.0,2015-01-02 05:40:07,9.272481775,0.1,0.109846708,-0.731123121,-2.661634231,66.6424384,19.1604528,85.60249052,Rest,-0.552349746182,0.0990312322276,-0.724323160762,0.0389577847796,0.811053390245,0.0305994288894
503541752.0,2015-01-02 09:30:06,16.86572184,0.52,0.132324695,-0.707529187,-2.455723563,44.5414845,19.522718,87.33099353,Rest,1.05143419896,0.161860943166,-0.511860376101,0.0817197419492,0.306257820656,0.0715848251685
503734432.0,2015-01-02 10:30:07,13.08432663,0.07,0.142177323,-0.712853123,-2.406137889,48.9497792,19.5389688,87.60192956,Rest,0.255413497095,0.194496424855,-0.790070350841,0.0372074130351,1.12816622192,0.0400118542916
503734436.0,2015-01-02 10:50:07,9.511567902,0.15,0.145129018,-0.715895914,-2.379458124,40.7417326,19.6107886,87.68997997,Rest,0.0669148060473,0.116583175962,-0.813324983988,0.0323637287233,1.33732962237,0.0319706165925
503734438.0,2015-01-02 11:00:06,9.931096389,0.22,0.146853626,-0.716503862,-2.375189792,45.2384844,19.5921428,87.73468303,Rest,0.222039958352,0.117352203688,-0.807828434335,0.0316854845359,1.45492714778,0.037773089288
503734444.0,2015-01-02 11:30:07,9.997634509,0.46,0.151826209,-0.718541969,-2.352250249,49.1703386,19.5873048,87.86988095,Rest,0.317834375114,0.0957046608991,-0.789013322109,0.0420006366892,1.17003530991,0.0382850346208
503734454.0,2015-01-02 12:20:07,9.528484373,0.06,0.154489615,-0.725698272,-2.303834907,33.4756552,19.6801792,88.31762612,Rest,-0.0826480898004,0.105601521836,-0.750537474491,0.0394003844192,1.0020128394,0.0292081249892
