acc_x_mean,acc_x_std,acc_x_cv,acc_y_mean,acc_y_std,acc_y_cv,acc_z_mean,acc_z_std,acc_z_cv,state
-4.8426218365,3.76003668127,-0.776446480485,-5.12061584737,3.66430356848,-0.715598216639,-3.28912589337,3.68817314391,-1.12132319147,Rest
-4.73999524425,3.89743015629,-0.822243473982,-5.01291431375,3.78058890185,-0.754169863123,-3.193829772,3.82719824746,-1.19831002924,Rest
-4.70559841937,3.79819946074,-0.807166086485,-4.8516439545,3.86599927603,-0.79684315508,-2.95981858637,3.90424431902,-1.31908230355,Rest
-4.2787394615,4.27749796731,-0.999709845809,-4.53643370688,4.26052204979,-0.939178730494,-2.77373740262,3.99598574096,-1.44065034317,Rest
-4.38644099512,4.06636372804,-0.927030303737,-4.7614227745,4.01340657067,-0.84290069602,-2.85268093512,4.02365850064,-1.41048318832,Rest
-4.78679748137,3.47520478975,-0.725997872957,-5.06479149225,3.47264368295,-0.685643957558,-3.11150294525,3.41089442308,-1.09622085632,Rest
-4.217840165,3.97522597131,-0.942479045152,-4.54207253062,3.99238497731,-0.878978693182,-2.56115374725,3.90427840169,-1.52442172044,Rest
-4.31144463925,3.85724413538,-0.894652363215,-4.6170688865,3.90447140905,-0.845660202399,-2.56510092387,3.88441534244,-1.51433236263,Rest
-4.21502075312,3.90816354567,-0.927199122986,-4.569702767,3.93105792185,-0.860243679356,-2.58765621887,3.81902504864,-1.47586260523,Rest
-4.22178734163,3.88137860149,-0.919368572457,-4.53699758925,3.92108591268,-0.864246858312,-2.54141786412,3.83098676918,-1.50742104368,Rest
-4.87476313187,3.78043561887,-0.77551165392,-5.07776078687,3.70612114577,-0.729873127413,-3.26769836312,3.71667252731,-1.13739767699,Rest
-4.86574101387,3.67244599592,-0.754755747469,-5.1358406715,3.62267529725,-0.705371433609,-3.28517871675,3.57209421768,-1.08733634474,Rest
-4.7704448925,3.65171549552,-0.765487407948,-5.03321407925,3.63945445931,-0.723087554395,-3.11319459237,3.57535750664,-1.14845294778,Rest
-4.63342147537,3.76516008802,-0.812609020791,-4.97062313562,3.75728392231,-0.755897966872,-2.99026823462,3.69348684798,-1.23516907454,Rest
-4.46764005713,3.69678941267,-0.827459098181,-4.75127289175,3.74346063044,-0.78788583938,-2.814900816,3.6325692989,-1.29047861234,Rest
-4.45185135063,3.94128106103,-0.885312817213,-4.75522006838,3.9208404842,-0.82453397063,-2.83012564012,3.88427454729,-1.37247424362,Rest
-4.46933170425,3.95667884974,-0.885295411388,-4.74732571512,3.88086115898,-0.817483651188,-2.87636399487,3.88583283253,-1.35095309198,Rest
-4.46594841,3.89652758265,-0.872497222298,-4.817811012,3.872685037,-0.803826681319,-2.900610937,3.84517771211,-1.32564407831,Rest
-4.52966711837,3.9580651183,-0.873809270056,-4.83021642425,3.954453827,-0.818690816244,-2.90794140787,3.90282993121,-1.34212811876,Rest
-4.6802237125,3.7631365305,-0.804050567166,-4.95370666437,3.74500665614,-0.756000891833,-3.026920589,3.65747235886,-1.20831460599,Rest
-4.65654065275,3.73089039538,-0.801215037858,-4.9508872525,3.74154885974,-0.755732996717,-3.03312329512,3.63884437747,-1.19970209695,Rest
-4.62101606312,3.76778148029,-0.815357797684,-4.89731842687,3.73081279765,-0.76180727338,-2.9705323515,3.64586023809,-1.22734237728,Rest
-4.384749348,3.91522760368,-0.89291936504,-4.69883183087,3.93305232132,-0.837027683238,-2.76584304937,3.82182048597,-1.38179224842,Rest
-4.47609829275,3.9078243056,-0.8730425585,-4.78679748137,3.90766332001,-0.816341893555,-2.79347328575,3.83246106526,-1.37193403095,Rest
-4.7704448925,3.61369333461,-0.757517048419,-5.05238608,3.58154363825,-0.708881621781,-3.13800541688,3.55229852092,-1.13202434317,Rest
-4.80540559975,3.69108271561,-0.7681105453,-5.074941375,3.65819837014,-0.720835591947,-3.16789118275,3.66066583572,-1.15555289767,Rest
-4.58379982637,3.93427481464,-0.858299874267,-4.90746830963,3.88658850679,-0.791974244472,-3.0246650595,3.86790691472,-1.2787885067,Rest
-4.38192993612,4.05714520871,-0.925880894457,-4.69488465425,4.03508664335,-0.859464489653,-2.76415140225,4.01103909583,-1.45109240129,Rest
-4.47384276325,3.95811223334,-0.88472314357,-4.81160830587,3.9233131236,-0.815384976124,-2.88538611287,3.89762541987,-1.3508158934,Rest
-4.56124453138,3.92576347121,-0.860678142601,-4.9057766625,3.84284576755,-0.783330761248,-3.00041811737,3.82488356397,-1.27478351828,Rest
-4.208818047,4.21093464229,-1.00050289541,-4.53305041262,4.15866516333,-0.917409864172,-2.60175327825,4.09983530864,-1.57579711455,Rest
-4.24772593087,4.11477572547,-0.968700851333,-4.623835475,4.09606889661,-0.885859568047,-2.68013292837,4.04595372666,-1.50960934953,Rest
-4.40786852537,4.06130270828,-0.921375645597,-4.85502724875,3.95987336308,-0.815623303474,-3.0607535315,3.64626139194,-1.19129533117,Rest
-4.47891770462,3.94351738638,-0.880462121977,-4.83867465987,3.96679924911,-0.819811111089,-2.87692787725,3.89366704536,-1.35341142062,Rest
-4.50316464675,3.87463451878,-0.860424795165,-4.85671889587,3.89111326008,-0.801181485588,-2.84309493475,3.84694739812,-1.35308439796,Rest
-4.7614227745,3.83418056128,-0.805259424098,-5.03772513825,3.73801381898,-0.742004320681,-3.14026094637,3.69290002844,-1.17598508261,Rest
-4.74619795038,3.8435205077,-0.809810409907,-5.03603349112,3.75597470161,-0.745820040362,-3.14477200537,3.77998040118,-1.20198869575,Rest
