Data Format: 
  dateTimeDelimiter: " "
  decimalSeparator: "."
  dataDelimiter: ","
  dateFormat: M/d/yy
  timeFormat: HH:mm:ss
  gmtOffset: "6"
  daylightSavings: false

Logger Info: 
  - &1
    launchDescription: "Baylling HSS"
    model: U30
    vendor: Onset Computer Corporation
    serialNumber: 10364430
    memorySize: 0
    firmwareVersion: 2.006
    firmwareVersionRaw: 0
    deploymentNumber: 4210
Series Info: 
  - name: "PAR"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-LIA-XXXX
    OMUnitIndex: 0
    OMChannelType: 22
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Temp"
    type: value
    unitName: ""
    OMClassName: OMTemp12bit_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 1
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "RH"
    type: value
    unitName: ""
    OMClassName: OMRH_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 2
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "DewPt"
    type: value
    unitName: ""
    OMClassName: OMDewPoint_HWS
    OMPartNumber: S-THB-XXXX
    OMUnitIndex: 0
    OMChannelType: 6
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
  - name: "Wind Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Gust Speed"
    type: value
    unitName: ""
    OMClassName: OMWindWSA_HWS
    OMPartNumber: S-WSA-XXXX
    OMUnitIndex: 0
    OMChannelType: 16
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Wind Dir"
    type: value
    unitName: ""
    OMClassName: OMeasurementH21
    OMPartNumber: S-WDA-XXXX
    OMUnitIndex: 0
    OMChannelType: 20
    OMValuePattern: "#,##0;-#,##0"
    logger: *1
  - name: "Rain"
    type: value
    unitName: ""
    OMClassName: OMRain_HWS
    OMPartNumber: S-RGB-M002
    OMUnitIndex: 0
    OMChannelType: 17
    OMValuePattern: "#,##0.0;-#,##0.0"
    logger: *1
  - name: "Batt"
    type: value
    unitName: ""
    OMClassName: OMVoltage_PipeBattery
    OMPartNumber: U30 Battery
    OMUnitIndex: 0
    OMChannelType: 5
    OMValuePattern: "#,##0.00;-#,##0.00"
    logger: *1
------------
"#","Time, Bangladesh Time","PAR, uE","Temp, *C","RH, %","DewPt, *C","Wind Speed, m/s","Gust Speed, m/s","Wind Dir, *","Rain, mm","Batt, V"
1,4/13/16 18:10:00,1,12.58,73.60,8.00,2.8,8.8,145,0.0,4.10
2,4/13/16 18:20:00,1,13.04,72.70,8.27,1.8,7.1,157,0.0,4.10
3,4/13/16 18:30:00,1,12.77,72.80,8.03,1.0,5.0,121,0.0,4.11
4,4/13/16 18:40:00,1,12.53,75.00,8.24,0.8,5.5,108,0.0,4.11
5,4/13/16 18:50:00,1,12.58,75.00,8.28,1.5,5.0,101,0.0,4.11
6,4/13/16 19:00:00,1,12.41,76.00,8.31,0.8,3.8,108,0.0,4.10
7,4/13/16 19:10:00,1,12.22,76.70,8.26,0.3,3.0,107,0.0,4.10
8,4/13/16 19:20:00,1,12.24,77.30,8.40,0.0,2.0,135,0.0,4.10
9,4/13/16 19:30:00,1,12.22,78.00,8.51,0.0,0.5,147,0.0,4.11
10,4/13/16 19:40:00,1,12.29,78.60,8.69,0.0,0.3,184,0.0,4.10
11,4/13/16 19:50:00,1,12.22,78.10,8.53,0.0,0.5,220,0.0,4.11
12,4/13/16 20:00:00,1,11.78,79.70,8.40,0.0,0.3,31,0.0,4.10
13,4/13/16 20:10:00,1,11.73,81.70,8.72,0.0,1.0,86,0.0,4.10
14,4/13/16 20:20:00,1,12.05,79.30,8.59,0.0,1.5,138,0.0,4.10
15,4/13/16 20:30:00,1,11.88,79.50,8.46,0.0,2.0,173,0.0,4.11
16,4/13/16 20:40:00,1,11.69,80.40,8.44,0.0,1.5,118,0.0,4.11
17,4/13/16 20:50:00,1,11.78,81.80,8.79,0.0,2.5,125,0.0,4.11
18,4/13/16 21:00:00,1,11.59,82.10,8.65,0.0,0.0,204,0.0,4.10
19,4/13/16 21:10:00,1,11.37,81.40,8.31,0.0,1.3,102,0.0,4.10
20,4/13/16 21:20:00,1,11.61,82.30,8.71,0.0,3.0,170,0.0,4.10
21,4/13/16 21:30:00,1,11.69,80.00,8.36,1.0,6.0,133,0.0,4.10
22,4/13/16 21:40:00,1,11.61,80.70,8.42,0.0,0.5,164,0.0,4.10
23,4/13/16 21:50:00,1,11.35,81.70,8.34,0.0,0.0,175,0.0,4.10
24,4/13/16 22:00:00,1,11.27,82.60,8.43,0.0,0.0,253,0.0,4.10
25,4/13/16 22:10:00,1,11.35,82.80,8.54,0.0,0.3,296,0.0,4.10
26,4/13/16 22:20:00,1,11.15,83.60,8.49,0.0,0.0,355,0.0,4.10
27,4/13/16 22:30:00,1,11.10,84.80,8.65,0.0,0.0,355,0.0,4.10
28,4/13/16 22:40:00,1,11.05,85.50,8.73,0.0,0.0,355,0.0,4.10
29,4/13/16 22:50:00,1,11.03,85.50,8.70,0.0,0.8,17,0.0,4.10
30,4/13/16 23:00:00,1,10.93,86.10,8.71,0.0,0.0,29,0.0,4.10
31,4/13/16 23:10:00,1,11.15,86.70,9.03,0.0,0.0,263,0.0,4.10
32,4/13/16 23:20:00,1,11.05,86.10,8.83,0.0,0.0,219,0.0,4.10
33,4/13/16 23:30:00,1,10.76,87.20,8.73,0.0,0.0,219,0.0,4.10
34,4/13/16 23:40:00,1,10.76,88.30,8.92,0.0,0.0,219,0.0,4.10
35,4/13/16 23:50:00,1,11.00,88.00,9.11,0.0,0.0,216,0.0,4.10
36,4/14/16 00:00:00,1,10.83,87.70,8.89,0.0,0.0,206,0.0,4.10
37,4/14/16 00:10:00,1,10.69,88.50,8.88,0.0,0.0,206,0.0,4.10
38,4/14/16 00:20:00,1,10.71,89.00,8.98,0.0,0.0,206,0.0,4.10
39,4/14/16 00:30:00,1,10.91,88.50,9.09,0.0,0.0,206,0.0,4.10
40,4/14/16 00:40:00,1,10.83,88.50,9.02,0.0,0.0,206,0.0,4.10
41,4/14/16 00:50:00,1,10.81,88.70,9.03,0.0,0.0,206,0.0,4.10
42,4/14/16 01:00:00,1,10.96,88.60,9.16,0.0,0.0,206,0.0,4.10
43,4/14/16 01:10:00,1,10.86,88.60,9.06,0.0,0.0,206,0.0,4.10
44,4/14/16 01:20:00,1,10.61,89.30,8.94,0.0,0.0,206,0.0,4.10
45,4/14/16 01:30:00,1,10.64,89.80,9.04,0.0,0.0,206,0.0,4.10
46,4/14/16 01:40:00,1,10.64,89.70,9.03,0.0,0.0,206,0.0,4.10
47,4/14/16 01:50:00,1,10.71,89.80,9.12,0.0,0.5,246,0.0,4.10
48,4/14/16 02:00:00,1,10.61,89.90,9.04,0.0,0.0,330,0.0,4.10
49,4/14/16 02:10:00,1,10.64,90.30,9.13,0.0,0.3,229,0.0,4.10
50,4/14/16 02:20:00,1,10.71,90.00,9.15,0.0,0.0,215,0.0,4.10
51,4/14/16 02:30:00,1,10.86,89.60,9.23,0.0,1.0,223,0.0,4.10
52,4/14/16 02:40:00,1,10.66,89.00,8.94,0.0,0.8,100,0.0,4.10
53,4/14/16 02:50:00,1,10.47,89.20,8.78,0.0,0.0,100,0.0,4.10
54,4/14/16 03:00:00,1,10.42,90.00,8.86,0.0,0.0,100,0.0,4.10
55,4/14/16 03:10:00,1,10.64,90.20,9.11,0.0,0.0,178,0.0,4.10
56,4/14/16 03:20:00,1,10.57,89.60,8.94,0.0,0.0,215,0.0,4.10
57,4/14/16 03:30:00,1,10.34,90.50,8.87,0.0,0.0,215,0.0,4.10
58,4/14/16 03:40:00,1,10.44,91.30,9.10,0.0,0.0,215,0.0,4.10
59,4/14/16 03:50:00,1,10.61,90.70,9.17,0.0,0.0,215,0.0,4.10
60,4/14/16 04:00:00,1,10.54,90.60,9.08,0.0,0.0,215,0.0,4.10
61,4/14/16 04:10:00,1,10.42,91.10,9.04,0.0,0.0,215,0.0,4.10
62,4/14/16 04:20:00,1,10.34,91.70,9.06,0.0,0.0,215,0.0,4.10
63,4/14/16 04:30:00,1,10.39,91.50,9.08,0.0,0.0,215,0.0,4.10
64,4/14/16 04:40:00,1,10.37,91.70,9.09,0.0,0.0,215,0.0,4.10
65,4/14/16 04:50:00,1,10.52,91.10,9.14,0.0,0.0,215,0.0,4.10
66,4/14/16 05:00:00,1,10.49,91.20,9.13,0.0,0.0,215,0.0,4.10
67,4/14/16 05:10:00,1,10.42,91.20,9.06,0.0,0.0,215,0.0,4.10
68,4/14/16 05:20:00,1,10.32,91.70,9.04,0.0,0.0,215,0.0,4.10
69,4/14/16 05:30:00,1,10.27,91.90,9.02,0.0,0.0,215,0.0,4.10
70,4/14/16 05:40:00,1,10.37,92.20,9.17,0.0,0.0,213,0.0,4.10
71,4/14/16 05:50:00,1,10.59,91.50,9.27,0.0,0.0,213,0.0,4.10
72,4/14/16 06:00:00,4,10.44,90.90,9.03,0.0,0.0,213,0.0,4.10
73,4/14/16 06:10:00,6,10.27,91.90,9.02,0.0,0.0,213,0.0,4.10
74,4/14/16 06:20:00,21,10.30,92.60,9.16,0.0,0.0,213,0.0,4.10
75,4/14/16 06:30:00,29,10.49,92.70,9.37,0.0,0.0,213,0.0,4.10
76,4/14/16 06:40:00,41,10.61,92.60,9.48,0.0,0.0,213,0.0,4.10
77,4/14/16 06:50:00,56,10.76,92.70,9.64,0.0,0.0,122,0.0,4.10
78,4/14/16 07:00:00,59,10.81,92.40,9.64,0.0,0.0,152,0.0,4.10
79,4/14/16 07:10:00,54,10.91,92.20,9.70,0.0,0.0,240,0.0,4.10
80,4/14/16 07:20:00,51,11.05,91.60,9.75,0.0,0.0,251,0.0,4.10
81,4/14/16 07:30:00,54,11.15,91.20,9.78,0.0,0.0,251,0.0,4.10
82,4/14/16 07:40:00,54,11.13,91.10,9.74,0.0,0.0,251,0.0,4.10
83,4/14/16 07:50:00,51,11.10,91.10,9.72,0.0,0.0,251,0.0,4.10
84,4/14/16 08:00:00,46,11.15,91.60,9.85,0.0,0.0,250,0.0,4.10
85,4/14/16 08:10:00,31,11.10,91.50,9.78,0.0,0.0,248,0.0,4.10
86,4/14/16 08:20:00,36,11.22,91.50,9.90,0.0,0.0,248,0.0,4.13
87,4/14/16 08:30:00,44,11.20,91.20,9.83,0.0,0.0,248,0.0,4.10
88,4/14/16 08:40:00,86,11.35,91.40,10.01,0.0,0.0,248,0.0,4.10
89,4/14/16 08:50:00,154,11.76,91.10,10.37,0.0,0.0,248,0.0,4.10
90,4/14/16 09:00:00,214,12.05,89.70,10.42,0.0,0.0,248,0.0,4.10
91,4/14/16 09:10:00,301,12.65,87.70,10.68,0.0,0.0,248,0.0,4.10
92,4/14/16 09:20:00,304,12.85,86.00,10.58,0.0,0.0,307,0.0,4.10
93,4/14/16 09:30:00,181,12.70,85.90,10.42,0.0,0.0,326,0.0,4.10
94,4/14/16 09:40:00,141,12.68,85.40,10.31,0.0,0.0,324,0.0,4.10
95,4/14/16 09:50:00,101,12.68,85.80,10.38,0.0,0.0,324,0.0,4.10
96,4/14/16 10:00:00,76,12.32,86.10,10.07,0.0,0.0,324,0.0,4.10
97,4/14/16 10:10:00,99,12.39,86.10,10.14,0.0,0.8,13,0.0,4.10
98,4/14/16 10:20:00,191,12.65,86.10,10.40,0.0,0.3,73,0.0,4.10
99,4/14/16 10:30:00,334,13.50,86.20,11.25,0.0,0.0,69,0.0,4.10
100,4/14/16 10:40:00,416,13.81,82.30,10.86,0.0,0.5,65,0.0,4.10
101,4/14/16 10:50:00,359,14.05,81.80,11.00,0.0,1.0,46,0.0,4.10
102,4/14/16 11:00:00,324,14.03,81.50,10.92,0.0,0.3,20,0.0,4.10
103,4/14/16 11:10:00,416,14.27,80.40,10.95,0.0,0.0,24,0.0,4.10
104,4/14/16 11:20:00,331,14.60,79.50,11.11,0.0,0.0,49,0.0,4.10
105,4/14/16 11:30:00,201,14.00,79.80,10.58,0.0,0.5,46,0.0,4.10
106,4/14/16 11:40:00,169,13.40,80.40,10.11,0.0,0.5,46,0.0,4.10
107,4/14/16 11:50:00,129,13.02,82.90,10.19,0.0,0.0,44,0.2,4.10
108,4/14/16 12:00:00,276,12.92,88.80,11.13,0.0,0.0,18,0.2,4.10
109,4/14/16 12:10:00,514,13.43,89.80,11.80,0.0,0.8,29,0.0,4.10
110,4/14/16 12:20:00,491,13.91,87.20,11.83,0.0,0.0,28,0.0,4.10
111,4/14/16 12:30:00,219,13.81,85.80,11.49,0.0,0.0,28,0.0,4.10
112,4/14/16 12:40:00,44,13.09,86.40,10.88,0.0,0.0,28,0.0,4.09
113,4/14/16 12:50:00,24,12.34,89.20,10.63,0.0,0.0,28,0.2,4.10
114,4/14/16 13:00:00,41,12.00,91.70,10.71,0.0,0.0,6,0.0,4.13
115,4/14/16 13:10:00,51,12.12,92.80,11.01,0.0,0.5,218,0.2,4.10
116,4/14/16 13:20:00,39,11.90,92.20,10.69,0.5,4.0,139,0.2,4.10
117,4/14/16 13:30:00,71,12.56,88.60,10.74,0.5,4.3,150,0.0,4.10
118,4/14/16 13:40:00,191,12.46,86.50,10.28,0.0,2.0,102,0.0,4.10
119,4/14/16 13:50:00,139,12.46,88.40,10.61,0.0,1.8,227,0.0,4.10
120,4/14/16 14:00:00,21,11.81,89.50,10.15,0.3,2.3,344,0.0,4.10
121,4/14/16 14:10:00,26,11.59,91.80,10.31,0.0,1.8,10,0.2,4.10
122,4/14/16 14:20:00,39,11.93,89.30,10.24,0.3,3.3,188,0.0,4.10
123,4/14/16 14:30:00,34,12.05,86.20,9.83,0.0,3.3,195,0.0,4.10
124,4/14/16 14:40:00,14,11.54,87.50,9.55,0.0,3.3,46,0.2,4.10
125,4/14/16 14:50:00,11,11.37,90.90,9.95,0.0,1.5,83,0.0,4.10
126,4/14/16 15:00:00,1,11.52,89.40,9.85,0.5,3.0,157,0.2,4.10
127,4/14/16 15:10:00,21,9.53,89.50,7.90,1.0,3.8,180,4.8,4.10
